id,preferred_term,identifier,mapping_status,ontology_id,ontology_source,mapping_quality,occurrences,parent_ingredient,variant_type
MediaIngredientMech:001058, Na2CO3,,MAPPED,CHEBI:29377,CHEBI,EXACT_MATCH,1,,
MediaIngredientMech:000155,(DL)-alpha-Lipoic acid,,MAPPED,CHEBI:16494,CHEBI,EXACT_MATCH,872,,
MediaIngredientMech:000650,(NH4) citrate,,MAPPED,CHEBI:63037,CHEBI,EXACT_MATCH,4,,
MediaIngredientMech:000365,(NH4)2 citrate,,MAPPED,CHEBI:63076,CHEBI,EXACT_MATCH,27,,
MediaIngredientMech:000385,(NH4)2HPO4,,MAPPED,CHEBI:62476,CHEBI,EXACT_MATCH,21,,
MediaIngredientMech:000779,(NH4)2MoO4,,MAPPED,CHEBI:91249,CHEBI,EXACT_MATCH,3,,
MediaIngredientMech:000478,(NH4)2Ni(SO4)2,,MAPPED,CHEBI:86149,CHEBI,EXACT_MATCH,12,,
MediaIngredientMech:000256,(NH4)2Ni(SO4)2 x 6 H2O,,MAPPED,CHEBI:86149,CHEBI,EXACT_MATCH,78,,
MediaIngredientMech:000473,(NH4)2Ni(SO4)2·6H2O,,MAPPED,CHEBI:86149,CHEBI,EXACT_MATCH,13,,
MediaIngredientMech:001059,(NH4)2Ni(SO4)2•6H2O,,MAPPED,CHEBI:86149,CHEBI,EXACT_MATCH,1,,
MediaIngredientMech:000863,(NH4)2S4,,MAPPED,CHEBI:62946,CHEBI,EXACT_MATCH,2,,
MediaIngredientMech:000145,(NH4)2SO4,,MAPPED,CHEBI:62946,CHEBI,EXACT_MATCH,1288,,
MediaIngredientMech:000335,(NH4)3 citrate,,MAPPED,CHEBI:63037,CHEBI,EXACT_MATCH,40,,
MediaIngredientMech:000557,(NH4)Cl,,MAPPED,CHEBI:31206,CHEBI,EXACT_MATCH,7,,
MediaIngredientMech:000759,(NH4)H2PO4,,MAPPED,CHEBI:62982,CHEBI,EXACT_MATCH,3,,
MediaIngredientMech:000852,(NH4)HCO3,,MAPPED,CHEBI:184335,CHEBI,EXACT_MATCH,2,,
MediaIngredientMech:000207,(NH4)NO3,,MAPPED,CHEBI:63038,CHEBI,EXACT_MATCH,176,,
MediaIngredientMech:001095,0.2% Thiamine pyrophosphate,,MAPPED,CHEBI:9532,CHEBI,EXACT_MATCH,1,,
MediaIngredientMech:001038,"0.5 M Nitrilotriacetic acid, disodium salt",,MAPPED,CHEBI:132766,CHEBI,EXACT_MATCH,1,,
MediaIngredientMech:000836,1 M Sodium acetate,,MAPPED,CHEBI:32954,CHEBI,EXACT_MATCH,2,,
MediaIngredientMech:000837,1 M Sodium butyrate,,MAPPED,CHEBI:64103,CHEBI,EXACT_MATCH,2,,
MediaIngredientMech:000603,1 M Sodium lactate,,MAPPED,CHEBI:75228,CHEBI,EXACT_MATCH,6,,
MediaIngredientMech:001032,"1,1,2-Trichloroethane",,MAPPED,CHEBI:36018,CHEBI,EXACT_MATCH,1,,
MediaIngredientMech:000957,"1,2-Dichloropropane",,MAPPED,CHEBI:142468,CHEBI,EXACT_MATCH,1,,
MediaIngredientMech:000612,"1,4-Naphthoquinone",,MAPPED,CHEBI:27418,CHEBI,EXACT_MATCH,6,,
MediaIngredientMech:000517,"2,2,4,4,6,8,8-Heptamethylnonane",,MAPPED,CHEBI:131383,CHEBI,EXACT_MATCH,10,,
MediaIngredientMech:000806,"2,3-butanediol",,MAPPED,CHEBI:62064,CHEBI,EXACT_MATCH,2,,
MediaIngredientMech:000979,"2,3-Butanediol",,MAPPED,CHEBI:62064,CHEBI,EXACT_MATCH,1,,
MediaIngredientMech:000842,2-(N-Morpholino)ethanesulfonic acid,,MAPPED,CHEBI:39005,CHEBI,EXACT_MATCH,2,,
MediaIngredientMech:001004,2-Furoic acid,,MAPPED,CHEBI:30845,CHEBI,EXACT_MATCH,1,,
MediaIngredientMech:000371,2-Mercaptoethanesulfonate,,MAPPED,CHEBI:17905,CHEBI,EXACT_MATCH,25,,
MediaIngredientMech:000607,2-Mercaptoethanesulfonic acid,,MAPPED,CHEBI:17905,CHEBI,EXACT_MATCH,6,,
MediaIngredientMech:000848,2-Mercaptoethanol,,MAPPED,CHEBI:41218,CHEBI,EXACT_MATCH,2,,
MediaIngredientMech:000936,2-Methyl-butyric acid,,MAPPED,CHEBI:37070,CHEBI,EXACT_MATCH,1,,
MediaIngredientMech:000395,2-Methylbutyric acid,,MAPPED,CHEBI:37070,CHEBI,EXACT_MATCH,21,,
MediaIngredientMech:000910,2-Oxoglutarate,,MAPPED,CHEBI:16810,CHEBI,EXACT_MATCH,2,,
MediaIngredientMech:000406,2Na-EDTA,,MAPPED,CHEBI:64734,CHEBI,EXACT_MATCH,20,,
MediaIngredientMech:000662,3-Hydroxybenzoic acid,,MAPPED,CHEBI:30764,CHEBI,EXACT_MATCH,3,,
MediaIngredientMech:000753,3-Indolyl acetic acid,,MAPPED,CHEBI:87514,CHEBI,EXACT_MATCH,3,,
MediaIngredientMech:000935,3-Methyl-butyric acid,,MAPPED,CHEBI:28484,CHEBI,EXACT_MATCH,1,,
MediaIngredientMech:000521,3-Methylbutyric acid,,MAPPED,CHEBI:28484,CHEBI,EXACT_MATCH,10,,
MediaIngredientMech:000248,4-Aminobenzoate,,MAPPED,CHEBI:17836,CHEBI,EXACT_MATCH,89,,
MediaIngredientMech:000654,4-aminobenzoate,,MAPPED,CHEBI:17836,CHEBI,EXACT_MATCH,4,,
MediaIngredientMech:000558,4-Aminobenzoic Acid,,MAPPED,CHEBI:30753,CHEBI,EXACT_MATCH,7,,
MediaIngredientMech:000756,4-Aminobenzoic acid,,MAPPED,CHEBI:30753,CHEBI,EXACT_MATCH,3,,
MediaIngredientMech:000870,4-aminobenzoic acid,,MAPPED,CHEBI:30753,CHEBI,EXACT_MATCH,2,,
MediaIngredientMech:001026,4-Hydroxybenzoic acid,,MAPPED,CHEBI:30763,CHEBI,EXACT_MATCH,1,,
MediaIngredientMech:001057,4-hydroxybenzoic acid,,MAPPED,CHEBI:30763,CHEBI,EXACT_MATCH,1,,
MediaIngredientMech:000752,4-Hydroxyphenyl acetic acid,,MAPPED,CHEBI:156387,CHEBI,EXACT_MATCH,3,,
MediaIngredientMech:000725,5-Aminovaleric acid,,MAPPED,CHEBI:15887,CHEBI,EXACT_MATCH,3,,
MediaIngredientMech:000555,ACES,,MAPPED,CHEBI:65994,CHEBI,EXACT_MATCH,8,,
MediaIngredientMech:000322,Acetate,,MAPPED,CHEBI:30089,CHEBI,EXACT_MATCH,43,,
MediaIngredientMech:000944,acetate,,MAPPED,CHEBI:30089,CHEBI,EXACT_MATCH,1,,
MediaIngredientMech:000342,Acetic acid,,MAPPED,CHEBI:15366,CHEBI,EXACT_MATCH,36,,
MediaIngredientMech:000119,Agar,,MAPPED,CHEBI:2509,CHEBI,EXACT_MATCH,2947,,
MediaIngredientMech:000265,agar,,MAPPED,CHEBI:2509,CHEBI,EXACT_MATCH,75,,
MediaIngredientMech:000408,Agarose,,MAPPED,CHEBI:2511,CHEBI,EXACT_MATCH,17,,
