identifier,preferred_term,mapping_status,ontology_id,ontology_source,mapping_quality,occurrences,parent_ingredient,variant_type
CHEBI:27569,(+)-Arabinogalactan,MAPPED,CHEBI:27569,CHEBI,EXACT_MATCH,0,,
CHEBI:4806,(-)-Epigallocatechin gallate,MAPPED,CHEBI:4806,CHEBI,EXACT_MATCH,0,,
CHEBI:28918,(-)-Epinephrine,MAPPED,CHEBI:28918,CHEBI,EXACT_MATCH,0,,
CHEBI:18357,(-)-Norepinephrine,MAPPED,CHEBI:18357,CHEBI,EXACT_MATCH,0,,
CHEBI:53188,(+/-)-Verapamil hydrochloride,MAPPED,CHEBI:53188,CHEBI,EXACT_MATCH,0,,
CHEBI:125,(-)-alpha-bisabolol,MAPPED,CHEBI:125,CHEBI,EXACT_MATCH,0,,
cas:247167-54-0,(5z)-4-bromo-5-(bromomethylene)-2(5h)-furanone,MAPPED,cas:247167-54-0,CAS,FALLBACK_REGISTRY,0,,
CHEBI:37054,(R)-3-hydroxybutyrate,MAPPED,CHEBI:37054,CHEBI,EXACT_MATCH,0,,
CHEBI:37054,(S)-3-hydroxybutyrate,MAPPED,CHEBI:37054,CHEBI,EXACT_MATCH,0,,
CHEBI:9532,0.2% Thiamine pyrophosphate,MAPPED,CHEBI:9532,CHEBI,EXACT_MATCH,1,,
CHEBI:132766,"0.5 M Nitrilotriacetic acid, disodium salt",MAPPED,CHEBI:132766,CHEBI,EXACT_MATCH,2,,
CHEBI:16885,1-Kestose,MAPPED,CHEBI:16885,CHEBI,EXACT_MATCH,0,,
CHEBI:44884,1-Pentanol,MAPPED,CHEBI:44884,CHEBI,EXACT_MATCH,0,,
CHEBI:18053,1-aminocyclopropane-1-carboxylate,MAPPED,CHEBI:18053,CHEBI,EXACT_MATCH,0,,
cas:143314-17-4,1-ethyl-3-methylimidazolium acetate,MAPPED,CHEBI:61326,CHEBI,NARROW_MATCH,0,,
CHEBI:61327,1-ethyl-3-methylimidazolium chloride,MAPPED,CHEBI:61327,CHEBI,EXACT_MATCH,0,,
CHEBI:61326,1-ethyl-3-methylimidazolium lysine,MAPPED,CHEBI:61326,CHEBI,LEXICAL_MATCH,0,,
CHEBI:34118,1-octen-3-ol,MAPPED,CHEBI:34118,CHEBI,EXACT_MATCH,0,,
CHEBI:62240,1-phenazinecarboxamide,MAPPED,CHEBI:62240,CHEBI,EXACT_MATCH,0,,
CHEBI:36018,"1,1,2-Trichloroethane",MAPPED,CHEBI:36018,CHEBI,EXACT_MATCH,1,,
CHEBI:16997,"1,2-Propanediol",MAPPED,CHEBI:16997,CHEBI,EXACT_MATCH,0,,
CHEBI:142468,"1,2-Dichloropropane",MAPPED,CHEBI:142468,CHEBI,EXACT_MATCH,1,,
CHEBI:52683,"1,3-Butandiol",MAPPED,CHEBI:52683,CHEBI,EXACT_MATCH,0,,
cas:21531-91-9,"1,3-Hexanediol",MAPPED,cas:21531-91-9,CAS,FALLBACK_REGISTRY,0,,
CHEBI:16109,"1,3-Propanediol",MAPPED,CHEBI:16109,CHEBI,EXACT_MATCH,0,,
cas:2152-98-9,"1,4-B-D-Galactobiose",MAPPED,CHEBI:36226,CHEBI,NARROW_MATCH,0,,
CHEBI:41189,"1,4-Butanediol",MAPPED,CHEBI:41189,CHEBI,EXACT_MATCH,0,,
CHEBI:27418,"1,4-Naphthoquinone",MAPPED,CHEBI:27418,CHEBI,EXACT_MATCH,6,,
CHEBI:185431,"1,5-Pentanediol",MAPPED,CHEBI:185431,CHEBI,EXACT_MATCH,0,,
cas:0124-09-4,"1,6-Hexanediamine",MAPPED,cas:0124-09-4,CAS,FALLBACK_REGISTRY,0,,
CHEBI:32397,18-Crown-6,MAPPED,CHEBI:32397,CHEBI,EXACT_MATCH,0,,
CHEBI:63861,2-(Methylthio)ethanol,MAPPED,CHEBI:63861,CHEBI,EXACT_MATCH,0,,
cas:0303-07-1,2-6-dihydroxybenzoic acid,MAPPED,cas:0303-07-1,CAS,FALLBACK_REGISTRY,0,,
CHEBI:59981,2-Acetylpyrrole,MAPPED,CHEBI:59981,CHEBI,EXACT_MATCH,0,,
CHEBI:327119,2-Azetidinone,MAPPED,CHEBI:327119,CHEBI,EXACT_MATCH,0,,
CHEBI:28816,2-Deoxy-D-Ribose,MAPPED,CHEBI:28816,CHEBI,EXACT_MATCH,0,,
CHEBI:15866,2-Deoxy-D-glucose,MAPPED,CHEBI:15866,CHEBI,EXACT_MATCH,0,,
cas:7284-15-3,2-Deoxy-D-ribonic acid lithium salt,MAPPED,CHEBI:86350,CHEBI,NARROW_MATCH,0,,
CHEBI:17713,2-Deoxyadenosine 5-monophosphate,MAPPED,CHEBI:17713,CHEBI,EXACT_MATCH,0,,
