label	occurrences	source_columns	already_in_mim
indole	6005	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
esculin	3569	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
D-glucose	3377	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
glucose	3329	BacDive_Metabolite_utilization	yes
cellobiose	2622	BacDive_Metabolite_utilization	yes
maltose	2536	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
hydrogen sulfide	2365	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
nitrate	2321	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
D-mannose	2257	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
D-fructose	2179	BacDive_Metabolite_utilization	yes
fructose	2169	BacDive_Metabolite_utilization	yes
arabinose	1998	BacDive_Metabolite_utilization	yes
acetoin	1908	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
gelatin	1699	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
D-mannitol	1659	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
citrate	1654	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
D-galactose	1489	BacDive_Metabolite_utilization	yes
galactose	1352	BacDive_Metabolite_utilization	yes
acetate	1342	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
sucrose	1265	BacDive_Metabolite_utilization	yes
0129 (2	1212	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
4-Diamino-6	1212	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
7-di-iso-propylpteridine phosphate)	1212	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
lactose	1209	BacDive_Metabolite_utilization	yes
mannose	1180	BacDive_Metabolite_utilization	no
mannitol	1116	BacDive_Metabolite_utilization	yes
malate	1076	BacDive_Metabolite_utilization	yes
D-ribose	1069	BacDive_Metabolite_utilization	yes
glycerol	1052	BacDive_Metabolite_utilization	yes
arginine	947	BacDive_Metabolite_utilization	yes
gluconate	936	BacDive_Metabolite_utilization	no
L-arabinose	911	BacDive_Metabolite_utilization	yes
N-acetylglucosamine	856	BacDive_Metabolite_utilization	yes
D-xylose	828	BacDive_Metabolite_utilization	yes
arbutin	792	BacDive_Metabolite_utilization	no
chloramphenicol	757	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	yes
ampicillin	734	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_utilization	yes
amygdalin	720	BacDive_Metabolite_utilization	no
glycogen	662	BacDive_Metabolite_utilization	yes
kanamycin	662	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	yes
raffinose	643	BacDive_Metabolite_utilization	yes
gentamicin	638	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	no
alanine	620	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
urea	592	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
melibiose	579	BacDive_Metabolite_utilization	yes
hippurate	565	BacDive_Metabolite_utilization	no
rhamnose	557	BacDive_Metabolite_utilization	no
lactate	555	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
casein	546	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
erythromycin	532	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	yes
streptomycin	531	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	no
dextrin	513	BacDive_Metabolite_utilization	yes
tetracycline	503	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	yes
adipate	466	BacDive_Metabolite_utilization	no
glutamate	465	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
trehalose	432	BacDive_Metabolite_utilization	yes
aspartate	431	BacDive_Metabolite_utilization	no
cellulose	425	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
myo-inositol	421	BacDive_Metabolite_utilization	yes
xylose	404	BacDive_Metabolite_utilization	yes
novobiocin	394	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
alpha-D-glucose	393	BacDive_Metabolite_utilization	yes
decanoate	392	BacDive_Metabolite_utilization	no
3-hydroxybutyrate	391	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
pyruvate	381	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
D-sorbitol	380	BacDive_Metabolite_utilization	yes
neomycin	368	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	yes
nalidixic acid	364	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_utilization	no
penicillin g	353	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	yes
rifampicin	334	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	yes
D-arabinose	332	BacDive_Metabolite_utilization	yes
D-arabitol	331	BacDive_Metabolite_utilization	no
ribose	325	BacDive_Metabolite_utilization	yes
asparagine	320	BacDive_Metabolite_utilization	yes
nitrite	319	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
tween 80	319	BacDive_Antibiotic_resistance|BacDive_Metabolite_utilization	yes
fucose	302	BacDive_Metabolite_utilization	yes
ornithine	295	BacDive_Metabolite_utilization	no
5-dehydro-D-gluconate	288	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
L-rhamnose	287	BacDive_Metabolite_utilization	yes
lysine	285	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
lincomycin	281	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
gentiobiose	279	BacDive_Metabolite_utilization	no
succinate	273	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
polymyxin b	272	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
starch	271	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
carbenicillin	269	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	yes
salicin	265	BacDive_Metabolite_utilization	no
formate	257	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
2-oxoglutarate	255	BacDive_Metabolite_utilization	yes
vancomycin	251	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	no
tween 20	232	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
tween 40	223	BacDive_Metabolite_utilization	yes
ciprofloxacin	218	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
ethanol	218	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
alpha-cyclodextrin	216	BacDive_Metabolite_utilization	no
sorbitol	210	BacDive_Metabolite_utilization	yes
acetoacetate	206	BacDive_Metabolite_utilization	no
propionate	205	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
penicillin	201	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	yes
D-fucose	200	BacDive_Metabolite_utilization	no
Amikacin	192	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
D-tagatose	185	BacDive_Metabolite_utilization	no
proline	175	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
histidine	169	BacDive_Metabolite_utilization	yes
bromosuccinate	165	BacDive_Metabolite_utilization	no
2-oxopentanoate	164	BacDive_Metabolite_utilization	no
esculin ferric citrate	164	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
D-lyxose	159	BacDive_Metabolite_utilization	yes
glycine	156	BacDive_Metabolite_utilization	yes
