placeholder_curie	category	label	source_columns	occurrences
kgmicrobe.pathway:chemoheterotrophy	biolink:BiologicalProcess	chemoheterotrophy	faprotax:type_of_metabolism	10493
kgmicrobe.trait:0	biolink:PhenotypicQuality	0	BacDive_Motility|BacDive_Salt_concentration|BacDive_Spore_formation|BacDive_Temperature_for_growth	10227
kgmicrobe.trait:rod_shaped	biolink:PhenotypicQuality	rod-shaped	BacDive_Cell_shape	7988
kgmicrobe.pathway:aerobic_chemoheterotrophy	biolink:BiologicalProcess	aerobic_chemoheterotrophy	faprotax:type_of_metabolism	7875
kgmicrobe.trait:environmental	biolink:PhenotypicQuality	#Environmental	BacDive_Isolation_category_1	7698
kgmicrobe.trait:1	biolink:PhenotypicQuality	1	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Metabolite_utilization|BacDive_Motility|BacDive_Pathogenicity_animal|BacDive_Pathogenicity_human|BacDive_Pathogenicity_plant|BacDive_Salt_concentration|BacDive_Spore_formation	7489
kgmicrobe.trait:unlabeled	biolink:PhenotypicQuality	%	BacDive_Indole_test|BacDive_Salt_concentration_unit|BacDive_Voges_proskauer	7379
kgmicrobe.trait:catalase	biolink:PhenotypicQuality	catalase	BacDive_Enzyme_activity	6827
kgmicrobe.trait:negative	biolink:PhenotypicQuality	negative	BacDive_Gram_stain	6114
kgmicrobe.trait:aerobe	biolink:PhenotypicQuality	aerobe	BacDive_Oxygen_tolerance	6092
kgmicrobe.trait:indole	biolink:PhenotypicQuality	indole	BacDive_Metabolite_production|BacDive_Metabolite_utilization	6005
kgmicrobe.trait:alkaline_phosphatase	biolink:PhenotypicQuality	alkaline phosphatase	BacDive_Enzyme_activity	5649
kgmicrobe.pathway:other	biolink:BiologicalProcess	Other	bergey:type_of_metabolism	5647
kgmicrobe.trait:acid_phosphatase	biolink:PhenotypicQuality	acid phosphatase	BacDive_Enzyme_activity	5448
kgmicrobe.pathway:phototrophy	biolink:BiologicalProcess	phototrophy	faprotax:type_of_metabolism	5391
kgmicrobe.pathway:photoautotrophy	biolink:BiologicalProcess	photoautotrophy	faprotax:type_of_metabolism	5327
kgmicrobe.pathway:oxygenic_photoautotrophy	biolink:BiologicalProcess	oxygenic_photoautotrophy	faprotax:type_of_metabolism	5221
kgmicrobe.pathway:photosynthetic_cyanobacteria	biolink:BiologicalProcess	photosynthetic_cyanobacteria	faprotax:type_of_metabolism	5221
kgmicrobe.trait:30	biolink:PhenotypicQuality	30	BacDive_Cell_length|BacDive_Temperature_for_growth	5168
