identifier,ontology_id,preferred_term,mapping_status,ontology_label,ontology_source,mapping_quality,total_occurrences,media_count,synonyms
MICRO:0000610,MICRO:0000610,Ox-bile,MAPPED,ox bile,MICRO,SYNONYM_MATCH,0,0,
MICRO:0001348,MICRO:0001348,BG-11 Medium,MAPPED,BG 11 medium,MICRO,SYNONYM_MATCH,2,2,
kgmicrobe.ingredient:marine_broth_2216,kgmicrobe.ingredient:marine_broth_2216,Marine broth 2216,MAPPED,Marine broth 2216,kgmicrobe.ingredient,FALLBACK_REGISTRY,19,19,Marine broth 2216 (BD-Difco)|Marine Broth  (MB) 2216  (Difco)|Marine Broth 2216 (BD 279110)|Marine Broth 2216 (BD--Difco)
kgmicrobe.ingredient:marine_agar_2216,kgmicrobe.ingredient:marine_agar_2216,Marine agar 2216,MAPPED,Marine agar 2216,kgmicrobe.ingredient,FALLBACK_REGISTRY,32,32,Marine agar 2216 (BD-Difco)
MICRO:0000543,MICRO:0000543,R2A agar,MAPPED,R2A agar,MICRO,EXACT_MATCH,16,16,R2A agar (BD-Difco)|R2A agar (DB-Difco)|R2A agar (BD--Difco)
MICRO:0001572,MICRO:0001572,Defibrinated horse blood,MAPPED,defibrinated horse blood,MICRO,EXACT_MATCH,5,5,defibrinated horse blood (TCS Biologicals)
MICRO:0001570,MICRO:0001570,Defibrinated sheep blood,MAPPED,defibrinated sheep blood,MICRO,EXACT_MATCH,25,25,
CHEBI:18186,CHEBI:18186,DL-Tyrosine,MAPPED,tyrosine,CHEBI,CLOSE_MATCH,18,18,
CHEBI:189426,CHEBI:189426,Pyridoxine dihydrochloride,MAPPED,Pyridoxine dihydrochloride,CHEBI,EXACT_MATCH,2,2,
CHEBI:86370,CHEBI:86370,Neutral red,MAPPED,neutral red,CHEBI,EXACT_MATCH,4,4,
kgmicrobe.ingredient:mineral_solution_see_medium_no_976,kgmicrobe.ingredient:mineral_solution_see_medium_no_976,Mineral solution see Medium No. 976,MAPPED,Mineral solution see Medium No. 976,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,Mineral solution (see Medium No. 976
kgmicrobe.ingredient:1_butanol_co2,kgmicrobe.ingredient:1_butanol_co2,1-butanol+CO2,MAPPED,1-butanol+CO2,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:1_propanol_co2,kgmicrobe.ingredient:1_propanol_co2,1-propanol+CO2,MAPPED,1-propanol+CO2,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:2_butanol_co2,kgmicrobe.ingredient:2_butanol_co2,2-butanol+CO2,MAPPED,2-butanol+CO2,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:2_propanol_co2,kgmicrobe.ingredient:2_propanol_co2,2-propanol+CO2,MAPPED,2-propanol+CO2,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
CHEBI:36026,CHEBI:36026,"1,1,2,2-Tetrachloroethane",MAPPED,"1,1,2,2-tetrachloroethane",CHEBI,EXACT_MATCH,0,0,2-tetrachloroethane
kgmicrobe.ingredient:bhi,kgmicrobe.ingredient:bhi,BHI,MAPPED,BHI,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
CHEBI:41189,CHEBI:41189,"Butane-1,4-diol",REJECTED,"butane-1,4-diol",CHEBI,EXACT_MATCH,0,0,Butane-1|4-diol
kgmicrobe.ingredient:cmc_py_horse_serum,kgmicrobe.ingredient:cmc_py_horse_serum,CMC + PY + Horse Serum,MAPPED,CMC + PY + Horse Serum,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:casitone_yeast_extract_rumen_fluid,kgmicrobe.ingredient:casitone_yeast_extract_rumen_fluid,Casitone + Yeast Extract + Rumen Fluid,MAPPED,Casitone + Yeast Extract + Rumen Fluid,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:corn_steep_liquor_glucose_fumarate,kgmicrobe.ingredient:corn_steep_liquor_glucose_fumarate,Corn Steep Liquor + Glucose + Fumarate,MAPPED,Corn Steep Liquor + Glucose + Fumarate,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:cyclopentanol_co2,kgmicrobe.ingredient:cyclopentanol_co2,Cyclopentanol+CO2,MAPPED,Cyclopentanol+CO2,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.ingredient:esculin_ferric_citrate,kgmicrobe.ingredient:esculin_ferric_citrate,Esculin Ferric Citrate,MAPPED,Esculin Ferric Citrate,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
kgmicrobe.compound:ethylenediamine_n_n_disuccinic_acid,kgmicrobe.compound:ethylenediamine_n_n_disuccinic_acid,"Ethylenediamine-N,N'-disuccinic acid (EDDS)",MAPPED,"Ethylenediamine-N,N'-disuccinic acid (EDDS)",kgmicrobe.compound,FALLBACK_REGISTRY,0,0,Ethylenediamine-N|N'-disuccinic Acid (EDDS)
kgmicrobe.ingredient:fastidious_anaerobe_broth_with_meat_granules,kgmicrobe.ingredient:fastidious_anaerobe_broth_with_meat_granules,Fastidious Anaerobe Broth With Meat Granules,MAPPED,Fastidious Anaerobe Broth With Meat Granules,kgmicrobe.ingredient,FALLBACK_REGISTRY,0,0,
