label,match_type,identifier,preferred_term,ontology_id,mapping_status
#Ar,synonym,CHEBI:49474,argon,CHEBI:49474,MAPPED
#N2,synonym,CHEBI:17997,Nitrogen gas,CHEBI:17997,MAPPED
#N2O,synonym,CHEBI:17045,nitrous oxide,CHEBI:17045,MAPPED
((2)H2)water,synonym,CHEBI:41981,deuterated water,CHEBI:41981,MAPPED
((amino(imino)methyl)(methyl)amino)acetic acid,synonym,CHEBI:16919,Creatine,CHEBI:16919,MAPPED
"(+)-(R,R)-tartaric acid",synonym,CHEBI:15671,L(+)-Tartaric acid,CHEBI:15671,MAPPED
"(+)-1,4,5,6-tetrahydro-2-methyl-4-pyrimidinecarboxylic acid",synonym,CHEBI:27592,Ectoine,CHEBI:27592,MAPPED
(+)-alpha-Lipoic acid,synonym,CHEBI:30314,Thioctic acid,CHEBI:30314,MAPPED
(+)-Arabinogalactan,preferred_term,CHEBI:27569,(+)-Arabinogalactan,CHEBI:27569,MAPPED
"(+)-cis-Hexahydro-2-oxo-1H-thieno[3,4]imidazole-4-valeric acid",synonym,CHEBI:15956,Biotin,CHEBI:15956,MAPPED
(+)-D-glucose,synonym,CHEBI:4167,Dextrose,CHEBI:4167,MAPPED
(+)-D-glycogen,synonym,CHEBI:28087,Glycogen,CHEBI:28087,MAPPED
(+)-L-lyxitol,synonym,CHEBI:18403,Arabitol,CHEBI:18403,MAPPED
(+)-L-tartaric acid,synonym,CHEBI:15671,L(+)-Tartaric acid,CHEBI:15671,MAPPED
(+)-lactate,synonym,CHEBI:24996,Lactate,CHEBI:24996,MAPPED
(+)-lactose,synonym,CHEBI:17716,Lactose,CHEBI:17716,MAPPED
(+)-Tartaric acid,synonym,CHEBI:15671,L(+)-Tartaric acid,CHEBI:15671,MAPPED
(+)-tartrate,synonym,CHEBI:30924,Na-tartrate,CHEBI:30924,MAPPED
(+)-Weinsaeure,synonym,CHEBI:15671,L(+)-Tartaric acid,CHEBI:15671,MAPPED
(+-)-Aspartic acid,synonym,CHEBI:22660,DL-aspartic acid,CHEBI:22660,MAPPED
