identifier,ontology_id,preferred_term,mapping_status,ontology_label,ontology_source,mapping_quality,total_occurrences,media_count
cas:13446-18-9,CHEBI:64736,magnesium nitrate hexahydrate,MAPPED,magnesium nitrate,CHEBI,NARROW_MATCH,0,0
CHEBI:229630,CHEBI:229630,NH42CO3,MAPPED,ammonium carbonate,CHEBI,EXACT_MATCH,0,0
CHEBI:45165,CHEBI:45165,Pyromelitic acid,MAPPED,pyromellitic acid,CHEBI,EXACT_MATCH,0,0
CHEBI:30065,CHEBI:30065,Thioglycollic acid,MAPPED,thioglycolic acid,CHEBI,EXACT_MATCH,0,0
CHEBI:232610,CHEBI:232610,KNO2,MAPPED,potassium nitrite,CHEBI,EXACT_MATCH,0,0
CHEBI:32918,CHEBI:32918,1-Naphtylacetic Acid,MAPPED,1-naphthaleneacetic acid,CHEBI,EXACT_MATCH,0,0
CHEBI:27569,CHEBI:27569,(+)-Arabinogalactan,MAPPED,arabinogalactan,CHEBI,EXACT_MATCH,0,0
CHEBI:4806,CHEBI:4806,(-)-Epigallocatechin gallate,MAPPED,(-)-epigallocatechin 3-gallate,CHEBI,EXACT_MATCH,0,0
CHEBI:28918,CHEBI:28918,(-)-Epinephrine,MAPPED,(R)-adrenaline,CHEBI,EXACT_MATCH,0,0
CHEBI:18357,CHEBI:18357,(-)-Norepinephrine,MAPPED,(R)-noradrenaline,CHEBI,EXACT_MATCH,0,0
CHEBI:53188,CHEBI:53188,(+/-)-Verapamil hydrochloride,MAPPED,verapamil hydrochloride,CHEBI,EXACT_MATCH,0,0
CHEBI:125,CHEBI:125,(-)-alpha-bisabolol,MAPPED,(-)-alpha-Bisabolol,CHEBI,EXACT_MATCH,0,0
cas:247167-54-0,cas:247167-54-0,(5z)-4-bromo-5-(bromomethylene)-2(5h)-furanone,MAPPED,(5z)-4-bromo-5-(bromomethylene)-2(5h)-furanone,CAS,FALLBACK_REGISTRY,0,0
CHEBI:10983,CHEBI:10983,(R)-3-hydroxybutyrate,MAPPED,(R)-3-hydroxybutyrate,CHEBI,EXACT_MATCH,0,0
CHEBI:11047,CHEBI:11047,(S)-3-hydroxybutyrate,MAPPED,(S)-3-hydroxybutyrate,CHEBI,EXACT_MATCH,0,0
CHEBI:9532,CHEBI:9532,0.2% Thiamine pyrophosphate,MAPPED,thiamine(1+) diphosphate,CHEBI,EXACT_MATCH,1,1
CHEBI:132766,CHEBI:132766,"0.5 M Nitrilotriacetic acid, disodium salt",MAPPED,sodium nitrilotriacetate,CHEBI,EXACT_MATCH,2,2
CHEBI:16885,CHEBI:16885,1-Kestose,MAPPED,1-kestose,CHEBI,EXACT_MATCH,0,0
CHEBI:44884,CHEBI:44884,1-Pentanol,MAPPED,pentan-1-ol,CHEBI,EXACT_MATCH,0,0
CHEBI:18053,CHEBI:18053,1-aminocyclopropane-1-carboxylate,MAPPED,1-aminocyclopropanecarboxylic acid,CHEBI,EXACT_MATCH,0,0
cas:143314-17-4,CHEBI:61326,1-ethyl-3-methylimidazolium acetate,MAPPED,1-ethyl-3-methylimidazolium,CHEBI,NARROW_MATCH,0,0
CHEBI:61327,CHEBI:61327,1-ethyl-3-methylimidazolium chloride,MAPPED,1-ethyl-3-methylimidazolium chloride,CHEBI,EXACT_MATCH,0,0
CHEBI:61326,CHEBI:61326,1-ethyl-3-methylimidazolium lysine,MAPPED,1-ethyl-3-methylimidazolium,CHEBI,LEXICAL_MATCH,0,0
CHEBI:34118,CHEBI:34118,1-octen-3-ol,MAPPED,oct-1-en-3-ol,CHEBI,EXACT_MATCH,0,0
CHEBI:62240,CHEBI:62240,1-phenazinecarboxamide,MAPPED,phenazine-1-carboxamide,CHEBI,EXACT_MATCH,0,0
CHEBI:36018,CHEBI:36018,"1,1,2-Trichloroethane",MAPPED,"1,1,2-trichloroethane",CHEBI,EXACT_MATCH,1,1
CHEBI:16997,CHEBI:16997,"1,2-Propanediol",MAPPED,"propane-1,2-diol",CHEBI,EXACT_MATCH,0,0
CHEBI:142468,CHEBI:142468,"1,2-Dichloropropane",MAPPED,"1,2-dichloropropane",CHEBI,EXACT_MATCH,1,1
CHEBI:52683,CHEBI:52683,"1,3-Butandiol",MAPPED,"butane-1,3-diol",CHEBI,EXACT_MATCH,0,0
cas:21531-91-9,cas:21531-91-9,"1,3-Hexanediol",MAPPED,"1,3-Hexanediol",CAS,FALLBACK_REGISTRY,0,0
CHEBI:16109,CHEBI:16109,"1,3-Propanediol",MAPPED,"propane-1,3-diol",CHEBI,EXACT_MATCH,0,0
cas:2152-98-9,CHEBI:36226,"1,4-B-D-Galactobiose",MAPPED,beta-D-galactopyranosyl-(1->4)-D-galactopyranose,CHEBI,NARROW_MATCH,0,0
CHEBI:41189,CHEBI:41189,"1,4-Butanediol",MAPPED,"butane-1,4-diol",CHEBI,EXACT_MATCH,0,0
CHEBI:27418,CHEBI:27418,"1,4-Naphthoquinone",MAPPED,"1,4-naphthoquinone",CHEBI,EXACT_MATCH,6,6
CHEBI:185431,CHEBI:185431,"1,5-Pentanediol",MAPPED,"Pentane-1,5-diol",CHEBI,EXACT_MATCH,0,0
cas:0124-09-4,cas:0124-09-4,"1,6-Hexanediamine",MAPPED,"1,6-Hexanediamine",CAS,FALLBACK_REGISTRY,0,0
CHEBI:32397,CHEBI:32397,18-Crown-6,MAPPED,18-crown-6,CHEBI,EXACT_MATCH,0,0
CHEBI:63861,CHEBI:63861,2-(Methylthio)ethanol,MAPPED,2-methylthioethanol,CHEBI,EXACT_MATCH,0,0
cas:0303-07-1,cas:0303-07-1,2-6-dihydroxybenzoic acid,MAPPED,2-6-dihydroxybenzoic acid,CAS,FALLBACK_REGISTRY,0,0
CHEBI:59981,CHEBI:59981,2-Acetylpyrrole,MAPPED,2-acetylpyrrole,CHEBI,EXACT_MATCH,0,0
CHEBI:327119,CHEBI:327119,2-Azetidinone,MAPPED,azetidin-2-one,CHEBI,EXACT_MATCH,0,0
CHEBI:28816,CHEBI:28816,2-Deoxy-D-Ribose,MAPPED,2-deoxy-D-ribose,CHEBI,EXACT_MATCH,0,0
