id,ontology_id,preferred_term,mapping_status,ontology_label,ontology_source,mapping_quality,total_occurrences,media_count
MediaIngredientMech:000001,UNMAPPED_0001,Full composition available at source database,UNMAPPED,,,,196,196
MediaIngredientMech:000002,UNMAPPED_0002,See source for composition,UNMAPPED,,,,143,143
MediaIngredientMech:000003,CHEBI:32599,MgSO4•7H2O,MAPPED,magnesium sulfate,CHEBI,EXACT_MATCH,29,29
MediaIngredientMech:000004,CHEBI:75229,NaNO,MAPPED,sodium nitrate,CHEBI,SYNONYM_MATCH,24,24
MediaIngredientMech:000005,CHEBI:176843,Vitamin B,MAPPED,vitamin B12,CHEBI,CLOSE_MATCH,23,23
MediaIngredientMech:000006,CHEBI:15377,dH2O,MAPPED,water,CHEBI,EXACT_MATCH,22,22
MediaIngredientMech:000007,CHEBI:3312,CaCl2•2H2O,MAPPED,calcium chloride,CHEBI,EXACT_MATCH,22,22
MediaIngredientMech:000008,ENVO:00002149,Pasteurized Seawater,MAPPED,seawater,ENVO,CLOSE_MATCH,19,19
MediaIngredientMech:000009,CHEBI:15956,Biotin Vitamin Solution,MAPPED,biotin,CHEBI,CLOSE_MATCH,18,18
MediaIngredientMech:000010,CHEBI:131527,K2HPO,MAPPED,dipotassium hydrogen phosphate,CHEBI,SYNONYM_MATCH,17,17
MediaIngredientMech:000011,UNMAPPED_0011,P-IV Metal Solution,NEEDS_EXPERT,,,,16,16
MediaIngredientMech:000012,UNMAPPED_0012,Soilwater: GR+ Medium,UNMAPPED,,,,15,15
MediaIngredientMech:000013,CHEBI:18385,Thiamine Vitamin Solution,MAPPED,thiamine(1+),CHEBI,CLOSE_MATCH,14,14
MediaIngredientMech:000014,ENVO:00001998,CR1 Soil,MAPPED,soil,ENVO,CLOSE_MATCH,14,14
MediaIngredientMech:000015,CHEBI:26710,NaCl,MAPPED,sodium chloride,CHEBI,EXACT_MATCH,13,13
MediaIngredientMech:000016,CHEBI:88434,Na2SiO3•9H2O,MAPPED,sodium metasilicate,CHEBI,CLOSE_MATCH,11,11
MediaIngredientMech:000017,CHEBI:6635,MgCO,MAPPED,magnesium carbonate,CHEBI,SYNONYM_MATCH,11,11
MediaIngredientMech:000018,CHEBI:63036,KH2PO,MAPPED,potassium dihydrogen phosphate,CHEBI,SYNONYM_MATCH,11,11
MediaIngredientMech:000019,ENVO:00001998,Green House Soil,MAPPED,soil,ENVO,CLOSE_MATCH,11,11
MediaIngredientMech:000020,CHEBI:32588,KCl,MAPPED,potassium chloride,CHEBI,EXACT_MATCH,10,10
MediaIngredientMech:000021,CHEBI:3311,CaCO,MAPPED,calcium carbonate,CHEBI,SYNONYM_MATCH,9,9
MediaIngredientMech:000022,FOODON:03301773,Tryptone,MAPPED,tryptone,FOODON,EXACT_MATCH,6,6
MediaIngredientMech:000023,UNMAPPED_0023,Bristol Medium,UNMAPPED,,,,6,6
MediaIngredientMech:000024,UNMAPPED_0024,Erdschreiber's Medium,UNMAPPED,,,,5,5
MediaIngredientMech:000025,FOODON:03411448,Yeast extract,MAPPED,yeast extract,FOODON,EXACT_MATCH,5,5
MediaIngredientMech:000026,CHEBI:63043,KNO,MAPPED,potassium nitrate,CHEBI,SYNONYM_MATCH,5,5
MediaIngredientMech:000027,ENVO:00002149,Seawater,MAPPED,seawater,ENVO,EXACT_MATCH,4,4
MediaIngredientMech:000028,CHEBI:37586,NaH2PO4•H2O,MAPPED,sodium dihydrogen phosphate,CHEBI,CLOSE_MATCH,4,4
MediaIngredientMech:000029,UNMAPPED_0029,Trace Metals Solution,UNMAPPED,,,,4,4
MediaIngredientMech:000030,CHEBI:39179,Na2glycerophosphate•5H2O,MAPPED,disodium glycerol 2-phosphate,CHEBI,CLOSE_MATCH,4,4
MediaIngredientMech:000031,UNMAPPED_0031,Enrichment Solution for Seawater Medium,UNMAPPED,,,,4,4
