preferred_term	parent_curie	rationale
2-Deoxyadenosine monohydrate	CHEBI:17256	monohydrate of 2'-deoxyadenosine
2-Keto-D-gluconic acid hemicalcium salt hydrate	CHEBI:27469	hemicalcium salt hydrate of 2-dehydro-D-gluconic acid
2-Keto-D-gluconic acid hemicalcium salt monohydrate	CHEBI:27469	hemicalcium salt monohydrate of 2-dehydro-D-gluconic acid
Adenine hydrochloride hydrate	CHEBI:16708	hydrochloride hydrate of adenine
Beta-Glycerophosphate disodium salt hydrate	CHEBI:17270	disodium salt hydrate of glycerol 2-phosphate
Ceftazidime hydrate	CHEBI:3508	unspecified hydrate of ceftazidime; CHEBI:3509 is specifically the pentahydrate, which the label does not claim
D-(+)-Melezitose hydrate	CHEBI:6731	unspecified hydrate of melezitose
D-(+)-melezitose monohydrate	CHEBI:6731	monohydrate of melezitose
EDTA tetrasodium tetrahydrate salt	CHEBI:4735	tetrasodium tetrahydrate salt of EDTA
Galactose 1-phosphate dipotassium salt pentahydrate	CHEBI:17973	dipotassium pentahydrate salt of alpha-D-galactose 1-phosphate
Glycerol phosphate disodium salt hydrate	CHEBI:26707	disodium salt hydrate of glycerol phosphate
L-Rhamnose monohydrate	CHEBI:62345	monohydrate of L-rhamnose
Maltotriose hydrate	CHEBI:61993	unspecified hydrate of maltotriose
Sodium phosphite dibasic pentahydrate	CHEBI:36361	disodium pentahydrate salt of phosphorous acid
Sodium thiophosphate tribasic hydrate	CHEBI:46612	trisodium hydrate salt of phosphorothioic acid (H3O3PS, neutral, 3-STAR). NOT CHEBI:37511 thiophosphate, a 1-STAR grouping term whose only child is organic thiophosphate; this record is inorganic Na3PO3S
Stachyose hydrate	CHEBI:17164	unspecified hydrate of stachyose
Terpene hydrate	CHEBI:134806	CAS 2451-01-6 is terpin hydrate; the label 'Terpene' is a misspelling of terpin
a-Ketoglutaric acid disodium salt hydrate	CHEBI:30915	disodium salt hydrate of 2-oxoglutaric acid
gold (III) chloride hydrate	CHEBI:30076	hydrate of gold trichloride
palatinose hydrate	CHEBI:18394	hydrate of palatinose (isomaltulose)
potassium citramalate monohydrate	CHEBI:15584	potassium salt monohydrate of citramalic acid
potassium tellurate hydrate	CHEBI:30463	potassium salt hydrate of telluric acid (H2O4Te, neutral, 3-STAR). NOT CHEBI:30464 tellurate, which is the (2-) anion: a neutral salt is not a kind of a dianion
