occurrences	identifier_set	n_labels	example_labels
141	MICRO:0001647|NCIT:C75874	2	Sea Salt; Sea Salt (SIGMA)
95	FOODON:03315719|mesh:C017721	8	Casamino Acids (Difco); Casamino acids (BD BBL); Casamino acids (BD Bacto); Casamino acids (BD Difco)
34	MICRO:0000460|kgmicrobe.ingredient:biotin_vitamin_solution|kgmicrobe.ingredient:kao_and_michayluk_vitamin_solution|kgmicrobe.ingredient:thiamine_vitamin_solution|kgmicrobe.ingredient:vitamin_solution_see_medium_no_403|kgmicrobe.ingredient:vitamin_solution_~28thermophilic_formulation~29	10	Vitamin solution (see Medium No. 403 ); Vitamin solution (see Medium No. 403 )*; Vitamin solution (see Medium No. 403); Vitamin solution (see Medium No. 898 )
28	FOODON:03315719|MICRO:0000182	2	Pancreatic Digest of Casein; Pancreatic digest of casein
19	CHEBI:17439|CHEBI:176843	6	Cyanocobalamin (Vitamin B12); Vitamin B12 (0.002% (w/v)); Vitamin B12 (0.1 mg/ml, filter sterilized); Vitamin B12 (2 mg/100 ml)
14	CHEBI:3312|CHEBI:86158	1	CaCl2・2H2O
14	CHEBI:91247|kgmicrobe.ingredient:l-cysteine_x_hcl_x_h2o_solution	2	L-Cysteine hydrochloride; L-cysteine hydrochloride
10	CHEBI:31795|CHEBI:32599	3	MgSO4 7H2O; MgSO4-7H2O; MgSO4・7H2O
5	CHEBI:35696|kgmicrobe.compound:cocl2_x_2_h2o|kgmicrobe.compound:cocl2_x_4_h2o	2	CoCl2-6H2O; CoCl2·6H2O
3	CHEBI:17909|CHEBI:26833	1	Sulfur, powder
3	NCIT:C29321|kgmicrobe.ingredient:phosphate_buffer_stock_solution|kgmicrobe.ingredient:potassium_phosphate_buffer|kgmicrobe.ingredient:sodium_phosphate_buffer|kgmicrobe.ingredient:sodium_potassium_phosphate_buffer	2	Phosphate buffer (1 M, pH 7.2); Phosphate buffer (see below)
2	CHEBI:39005|cas:145224-94-8	1	2-(N-Morpholino)ethanesulfonic acid (MES)
2	CHEBI:34683|CHEBI:91258|CHEBI:91259|kgmicrobe.compound:na2hpo4_x_3_h2o|kgmicrobe.compound:na2hpo4_x_6_h2o|kgmicrobe.compound:na2hpo4_x_7_h2o	2	Na2HPO4·12H2O; Na2HPO4·7H2O
2	CHEBI:39033|kgmicrobe.ingredient:pipes_buffer	2	PIPES (10 mM); PIPES (Sigma)
1	CHEBI:17053|CHEBI:22660|cas:1115-63-5|cas:323194-76-9	1	Aspartic acid
1	CHEBI:30769|CHEBI:31404	1	Citric acid·H2O (4.8 g/L)
1	CHEBI:17561|CHEBI:91248	1	Cysteine HCl.H2O
1	MICRO:0000176|MICRO:0000178	1	Meat peptone (BD Bacto)
1	CHEBI:28869|kgmicrobe.ingredient:menadione_solution	1	Menadione (Vitamin K3)
1	CHEBI:34887|kgmicrobe.compound:nicl2_x_2_h2o|kgmicrobe.compound:nicl2_x_5_h2o	1	NiCl2-6H2O
1	CHEBI:44557|cas:15467-20-6	1	Nitrilotriacetic acid (C6H9NO6)
1	ENVO:00002149|kgmicrobe.ingredient:natural_sea_water|kgmicrobe.ingredient:pasteurized_seawater|kgmicrobe.ingredient:supplemented_seawater	1	Sea water*
1	CHEBI:9532|kgmicrobe.ingredient:0_2_thiamine_pyrophosphate	1	Thiamine pyrophosphate (0.2% w/v in water)
1	CHEBI:17895|CHEBI:18186	1	Tyrosine
1	CHEBI:16828|CHEBI:27897	1	tryptophan (Sigma Aldrich)
