bucket	label	occurrences	recipes	folded	mim_identifier	mim_label	culturemech_reason
ALIAS	Agar (if needed)	288	288	agar	CHEBI:2509	Agar	label not found in pinned MIM index and no usable local identity
ALIAS	HCl (25%; 7.7 M)	72	72	hcl	CHEBI:17883	[HCl]	label not found in pinned MIM index and no usable local identity
ALIAS	Horse blood	68	68	horse blood	MICRO:0001234	Horse blood	label not found in pinned MIM index and no usable local identity
ALIAS	[1,1′-Biphenyl]-2-ol	60	60	1 1 biphenyl 2 ol	CHEBI:17043	[1,1′-Biphenyl]-2-ol	label not found in pinned MIM index and no usable local identity
ALIAS	Skim milk	24	24	skim milk	FOODON:03301484	Skim milk	label not found in pinned MIM index and no usable local identity
ALIAS	Sheep blood	20	19	sheep blood	MICRO:0001230	Sheep blood	label not found in pinned MIM index and no usable local identity
ALIAS	Artificial seawater	19	19	artificial seawater	MICRO:0001715	Artificial seawater	label not found in pinned MIM index and no usable local identity
ALIAS	Sodium resazurin (0.1% w/v)	18	18	sodium resazurin	CHEBI:8806	Sodium resazurin	label not found in pinned MIM index and no usable local identity
ALIAS	L-Cysteine . HCl	16	16	l cysteine hcl	CHEBI:91247	L--cysteine・HCl	label not found in pinned MIM index and no usable local identity
ALIAS	MnSO4·xH2O	15	15	mnso4 xh2o	CHEBI:86360	MnSO4・xH2O	label not found in pinned MIM index and no usable local identity
ALIAS	VOSO4・xH2O	14	14	voso4 xh2o	CHEBI:87020	VOSO4.xH2O	label not found in pinned MIM index and no usable local identity
ALIAS	HCl (25%)	13	13	hcl	CHEBI:17883	[HCl]	label not found in pinned MIM index and no usable local identity
ALIAS	L-Cysteine·HCl·H2O	13	13	l cysteine hcl h2o	CHEBI:91248	L--Cysteine HCl H2O	label not found in pinned MIM index and no usable local identity
ALIAS	Air	12	12	air	ENVO:00002005	Air	label not found in pinned MIM index and no usable local identity
ALIAS	Ferric citrate (0.1%, w/v)	11	11	ferric citrate	CHEBI:144421	Ferric citrate	label not found in pinned MIM index and no usable local identity
ALIAS	HCl (35%)	11	11	hcl	CHEBI:17883	[HCl]	label not found in pinned MIM index and no usable local identity
ALIAS	Oat flakes	11	11	oat flakes	FOODON:03306272	Oat flakes	label not found in pinned MIM index and no usable local identity
ALIAS	Trace element solution (see Medium No. 187 )	11	11	trace element solution	NCIT:C896	Trace element solution	label not found in pinned MIM index and no usable local identity
ALIAS	Sodium phosphate buffer (10 mM; pH7.1)	10	10	sodium phosphate buffer	kgmicrobe.ingredient:sodium_phosphate_buffer	Sodium phosphate buffer	label not found in pinned MIM index and no usable local identity
ALIAS	Thiamine . HCl	10	10	thiamine hcl	CHEBI:49105	Thiamine . HCl	label not found in pinned MIM index and no usable local identity
ALIAS	Sodium phosphate buffer (25 mM; pH 3.4)	9	9	sodium phosphate buffer	kgmicrobe.ingredient:sodium_phosphate_buffer	Sodium phosphate buffer	label not found in pinned MIM index and no usable local identity
ALIAS	Ammonium phosphate	8	8	ammonium phosphate	CHEBI:63051	Ammonium phosphate	label not found in pinned MIM index and no usable local identity
ALIAS	Marine broth 2216 (BD-Difco)	8	8	marine broth 2216	kgmicrobe.ingredient:marine_broth_2216	Marine Broth  (MB) 2216  (Difco)	label not found in pinned MIM index and no usable local identity
ALIAS	Nickel Sulfate	8	8	nickel sulfate	CHEBI:53001	Nickel Sulfate	label not found in pinned MIM index and no usable local identity
ALIAS	Starch (soluble)	8	8	starch soluble	CHEBI:28017	Starch (soluble)	label not found in pinned MIM index and no usable local identity
ALIAS	Thiamine・HCl・2H2O	8	8	thiamine hcl 2h2o	CHEBI:132751	Thiamine-HCl·2H2O	label not found in pinned MIM index and no usable local identity
ALIAS	Artificial seawater (see below)	7	7	artificial seawater	MICRO:0001715	Artificial seawater	label not found in pinned MIM index and no usable local identity
