identifier	collection	record_count	members_fingerprint	disposition	same_after_folding	hydrate_markers	preferred_terms
CHEBI:131527	mapped	2	d171f754c363	HYDRATE_FAMILY_UNREVIEWED	false	1	K2HPO4 | K2HPO4 x 3 H2O
CHEBI:16856	mapped	2	c7a706300589	MERGE_SAME_SUBSTANCE	false	0	Glutathione | L-Glutathione
CHEBI:16991	mapped	2	8b67963e59ef	MERGE_SAME_SUBSTANCE	false	0	Deoxyribonucleic acid from herring sperm | Fish-Sperm DNA
CHEBI:17201	mapped	2	816c9c5e92fe	MERGE_SAME_SUBSTANCE	true	0	Glycyl-glycine | Glycylglycine
CHEBI:17754	mapped	2	8308a0fc0a5e	MERGE_SAME_SUBSTANCE	true	0	Glycerol | glycerol
CHEBI:17992	mapped	2	95dd8172fcd9	MERGE_SAME_SUBSTANCE	false	0	D-Sucrose | Sucrose
CHEBI:23414	mapped	3	e5350575f52a	HYDRATE_FAMILY_UNREVIEWED	false	2	CuSO4 | CuSO4 x 2 H2O | CuSO4 x 4 H2O
CHEBI:29377	mapped	2	c218d60604b5	UNREVIEWED	false	0	Na2CO3 | Sodium carbonate solution
CHEBI:30089	mapped	2	0f5fbeb49567	MERGE_SAME_SUBSTANCE	false	0	Acetate | Acetate (carbon source)
CHEBI:30769	mapped	2	cd5057f3e78d	HYDRATE_FAMILY_UNREVIEWED	false	1	Citric acid | Citric Acid•H2O
CHEBI:30808	mapped	2	7665be56e667	HYDRATE_FAMILY_UNREVIEWED	false	1	FeCl3 | FeCl3 x 4 H2O
CHEBI:30812	mapped	3	d52422fe9c71	HYDRATE_FAMILY_UNREVIEWED	false	2	FeCl2 | FeCl2 x 6 H2O | FeCl2 x 7 H2O
CHEBI:31206	mapped	2	b6f0df0fcd68	MERGE_SAME_SUBSTANCE	false	0	Ammonium chloride (nitrogen source) | NH4Cl
CHEBI:31345	mapped	2	8c034ee6cb1d	MERGE_SAME_SUBSTANCE	false	0	Calcium D-Pantothenate | Calcium pantothenate
CHEBI:31346	mapped	2	46c7326ff47e	HYDRATE_FAMILY_UNREVIEWED	false	1	CaSO4 | CaSO4 x 7 H2O
CHEBI:31795	mapped	3	c7dd52472849	HYDRATE_FAMILY_UNREVIEWED	false	3	MgSO47H2O | MgSO4 x 7 H2O | MgSO4·H2O
CHEBI:32036	mapped	2	b6f50d50258e	HYDRATE_FAMILY_UNREVIEWED	false	1	K2SO4 | K2SO4 x 7 H2O
CHEBI:32150	mapped	2	3831f86b799c	HYDRATE_FAMILY_UNREVIEWED	false	2	Na2S2O3 x 5 H2O | Sodium Thiosulfate Pentahydrate
CHEBI:32599	mapped	3	bc2490d3f606	HYDRATE_FAMILY_UNREVIEWED	false	2	Magnesium sulfate | MgSO4·7H2O | MgSO4 x 6 H2O
CHEBI:32954	mapped	3	76a3e963eb90	HYDRATE_FAMILY_UNREVIEWED	false	1	Na-acetate | Sodium acetate | Sodium acetate·3H2O
CHEBI:3312	mapped	3	888039a4feff	HYDRATE_FAMILY_UNREVIEWED	false	1	CaCl2 | CaCl2 x 7 H2O | Calcium Chloride
CHEBI:34535	mapped	2	0a4a0885e4a9	MERGE_SAME_SUBSTANCE	false	0	Ampicillin sodium salt | Na-ampicillin
CHEBI:34683	mapped	6	1722e85d89bd	HYDRATE_FAMILY_UNREVIEWED	false	5	Na2HPO4 | Na2HPO4 x 12 H2O | Na2HPO4 x 2 H2O | Na2HPO4 x 3 H2O | Na2HPO4 x 6 H2O | Na2HPO4 x 7 H2O
CHEBI:34887	mapped	4	7d6eea46c1c2	HYDRATE_FAMILY_UNREVIEWED	false	3	NiCl2 | NiCl2 x 2 H2O | NiCl2 x 5 H2O | NiCl2 x 6 H2O
CHEBI:35458	mapped	2	a0641783ca63	HYDRATE_FAMILY_UNREVIEWED	false	1	CeCl3 | CeCl3 x 7 H2O
CHEBI:35696	mapped	4	0ef37f1b662c	HYDRATE_FAMILY_UNREVIEWED	false	3	CoCl2 | CoCl2 x 2 H2O | CoCl2 x 4 H2O | CoCl2 x 6 H2O
CHEBI:37585	mapped	2	c5a99a15de33	HYDRATE_FAMILY_UNREVIEWED	false	1	NaH2PO4 | NaH2PO4 x 2 H2O
CHEBI:48843	mapped	2	dd8d92b2cedc	HYDRATE_FAMILY_UNREVIEWED	false	1	Na2SeO3 | Na2SeO3·5H2O
CHEBI:49553	mapped	2	2ed109995d97	HYDRATE_FAMILY_UNREVIEWED	false	1	CuCl2 | CuCl2 x 6 H2O
CHEBI:53001	mapped	2	fb0863d56f8a	HYDRATE_FAMILY_UNREVIEWED	false	2	NiSO4 x 6 H2O | NiSO4 x 7 H2O
CHEBI:53258	mapped	3	e77587aa1048	HYDRATE_FAMILY_UNREVIEWED	false	1	Sodium Citrate | Trisodium citrate | Trisodium citrate x 2 H2O
