subject_id	subject_label	object_id	object_label	verdict	new_candidates	only_in_oak	only_in_ols	notes
MIM:~28~29-Arabinogalactan	(+)-Arabinogalactan	CHEBI:27569	arabinogalactan	SYNONYM_ENRICH	(+)-Arabinogalactan			
MIM:~28-~29-Epigallocatechin_Gallate	(-)-Epigallocatechin gallate	CHEBI:4806	(-)-epigallocatechin 3-gallate	CONFIRMED				
MIM:~28-~29-Epinephrine	(-)-Epinephrine	CHEBI:28918	(R)-adrenaline	SYNONYM_ENRICH	(-)-Epinephrine			
MIM:~28-~29-Norepinephrine	(-)-Norepinephrine	CHEBI:18357	(R)-noradrenaline	CONFIRMED				
MIM:~28-~29-Verapamil_Hydrochloride	(+/-)-Verapamil hydrochloride	CHEBI:53188	verapamil hydrochloride	SYNONYM_ENRICH	(+/-)-Verapamil hydrochloride			
MIM:~28-~29-alpha-bisabolol	(-)-alpha-bisabolol	CHEBI:125	(-)-alpha-Bisabolol	CONFIRMED				
MIM:~285z~29-4-bromo-5-~28bromomethylene~29-2~285h~29-furanone	(5z)-4-bromo-5-(bromomethylene)-2(5h)-furanone	cas:247167-54-0	(5z)-4-bromo-5-(bromomethylene)-2(5h)-furanone	UNKNOWN_TERM				neither OAK nor OLS resolves cas:247167-54-0
MIM:~28R~29-3-hydroxybutyrate	(R)-3-hydroxybutyrate	CHEBI:37054	3-hydroxybutyrate	SYNONYM_ENRICH	(R)-3-hydroxybutyrate			
MIM:~28S~29-3-hydroxybutyrate	(S)-3-hydroxybutyrate	CHEBI:37054	3-hydroxybutyrate	SYNONYM_ENRICH	(S)-3-hydroxybutyrate			
MIM:02_Thiamine_Pyrophosphate	0.2% Thiamine pyrophosphate	CHEBI:9532	thiamine(1+) diphosphate	SYNONYM_ENRICH	0.2% Thiamine pyrophosphate			
MIM:05_M_Nitrilotriacetic_Acid_Disodium_Salt	0.5 M Nitrilotriacetic acid, disodium salt	CHEBI:132766	sodium nitrilotriacetate	SYNONYM_ENRICH	0.5 M Nitrilotriacetic acid, disodium salt|Nitrilotriacetic acid, trisodium salt			
MIM:1-Kestose	1-Kestose	CHEBI:16885	1-kestose	CONFIRMED				
MIM:1-Pentanol	1-Pentanol	CHEBI:44884	pentan-1-ol	CONFIRMED				
MIM:1-aminocyclopropane-1-carboxylate	1-aminocyclopropane-1-carboxylate	CHEBI:18053	1-aminocyclopropanecarboxylic acid	SYNONYM_ENRICH	1-aminocyclopropane-1-carboxylate			
MIM:1-ethyl-3-methylimidazolium_Acetate	1-ethyl-3-methylimidazolium acetate	CHEBI:61326	1-ethyl-3-methylimidazolium	SYNONYM_ENRICH	1-ethyl-3-methylimidazolium acetate			
MIM:1-ethyl-3-methylimidazolium_Acetate	1-ethyl-3-methylimidazolium acetate	cas:143314-17-4	1-ethyl-3-methylimidazolium acetate	UNKNOWN_TERM				neither OAK nor OLS resolves cas:143314-17-4
MIM:1-ethyl-3-methylimidazolium_Acetate	1-ethyl-3-methylimidazolium acetate	kgmicrobe.compound:1-ethyl-3-methylimidazolium_acetate	1-ethyl-3-methylimidazolium acetate	UNKNOWN_TERM				neither OAK nor OLS resolves kgmicrobe.compound:1-ethyl-3-methylimidazolium_acetate
MIM:1-ethyl-3-methylimidazolium_Chloride	1-ethyl-3-methylimidazolium chloride	CHEBI:61327	1-ethyl-3-methylimidazolium chloride	CONFIRMED				
MIM:1-ethyl-3-methylimidazolium_Lysine	1-ethyl-3-methylimidazolium lysine	CHEBI:61326	1-ethyl-3-methylimidazolium	SYNONYM_ENRICH	1-ethyl-3-methylimidazolium lysine			
MIM:1-octen-3-ol	1-octen-3-ol	CHEBI:34118	oct-1-en-3-ol	CONFIRMED				
MIM:1-phenazinecarboxamide	1-phenazinecarboxamide	CHEBI:62240	phenazine-1-carboxamide	CONFIRMED				
MIM:112-trichloroethane	1,1,2-Trichloroethane	CHEBI:36018	1,1,2-trichloroethane	CONFIRMED				
MIM:12-Propanediol	1,2-Propanediol	CHEBI:16997	propane-1,2-diol	CONFIRMED				
MIM:12-dichloropropane	1,2-Dichloropropane	CHEBI:142468	1,2-dichloropropane	CONFIRMED				
MIM:13-Butandiol	1,3-Butandiol	CHEBI:52683	butane-1,3-diol	CONFIRMED				
MIM:13-Hexanediol	1,3-Hexanediol	cas:21531-91-9	1,3-Hexanediol	UNKNOWN_TERM				neither OAK nor OLS resolves cas:21531-91-9
MIM:13-Propanediol	1,3-Propanediol	CHEBI:16109	propane-1,3-diol	CONFIRMED				
MIM:14-B-D-Galactobiose	1,4-B-D-Galactobiose	CHEBI:36226	beta-D-galactopyranosyl-(1->4)-D-galactopyranose	SYNONYM_ENRICH	1,4-B-D-Galactobiose			
MIM:14-B-D-Galactobiose	1,4-B-D-Galactobiose	cas:2152-98-9	1,4-B-D-Galactobiose	UNKNOWN_TERM				neither OAK nor OLS resolves cas:2152-98-9
MIM:14-B-D-Galactobiose	1,4-B-D-Galactobiose	kgmicrobe.compound:14-b-d-galactobiose	1,4-B-D-Galactobiose	UNKNOWN_TERM				neither OAK nor OLS resolves kgmicrobe.compound:14-b-d-galactobiose
MIM:14-Butanediol	1,4-Butanediol	CHEBI:41189	butane-1,4-diol	CONFIRMED				
MIM:14-naphthoquinone	1,4-Naphthoquinone	CHEBI:27418	1,4-naphthoquinone	CONFIRMED				
MIM:15-Pentanediol	1,5-Pentanediol	CHEBI:185431	Pentane-1,5-diol	SYNONYM_ENRICH	1,5-Pentanediol			
MIM:16-Hexanediamine	1,6-Hexanediamine	cas:0124-09-4	1,6-Hexanediamine	UNKNOWN_TERM				neither OAK nor OLS resolves cas:0124-09-4
MIM:18-Crown-6	18-Crown-6	CHEBI:32397	18-crown-6	CONFIRMED				
MIM:2-~28Methylthio~29ethanol	2-(Methylthio)ethanol	CHEBI:63861	2-methylthioethanol	CONFIRMED				
MIM:2-6-dihydroxybenzoic_Acid	2-6-dihydroxybenzoic acid	cas:0303-07-1	2-6-dihydroxybenzoic acid	UNKNOWN_TERM				neither OAK nor OLS resolves cas:0303-07-1
MIM:2-Acetylpyrrole	2-Acetylpyrrole	CHEBI:59981	2-acetylpyrrole	CONFIRMED				
MIM:2-Azetidinone	2-Azetidinone	CHEBI:327119	azetidin-2-one	CONFIRMED				
MIM:2-Deoxy-D-Ribose	2-Deoxy-D-Ribose	CHEBI:28816	2-deoxy-D-ribose	CONFIRMED				
MIM:2-Deoxy-D-glucose	2-Deoxy-D-glucose	CHEBI:15866	2-deoxy-D-glucose	CONFIRMED				
MIM:2-Deoxy-D-ribonic_Acid_Lithium_Salt	2-Deoxy-D-ribonic acid lithium salt	CHEBI:86350	2-deoxy-D-ribonic acid	SYNONYM_ENRICH	2-Deoxy-D-ribonic acid lithium salt|lithium deoxyribonoate			
MIM:2-Deoxy-D-ribonic_Acid_Lithium_Salt	2-Deoxy-D-ribonic acid lithium salt	cas:7284-15-3	2-Deoxy-D-ribonic acid lithium salt	UNKNOWN_TERM				neither OAK nor OLS resolves cas:7284-15-3
MIM:2-Deoxy-D-ribonic_Acid_Lithium_Salt	2-Deoxy-D-ribonic acid lithium salt	kgmicrobe.compound:2-deoxy-d-ribonic_acid_lithium_salt	2-Deoxy-D-ribonic acid lithium salt	UNKNOWN_TERM				neither OAK nor OLS resolves kgmicrobe.compound:2-deoxy-d-ribonic_acid_lithium_salt
