subject_id	subject_label	predicate_context_object_id	object_label	original_verdict	row_review_status	review_artifact	review_notes
MIM:~28~29-Arabinogalactan	(+)-Arabinogalactan	CHEBI:27569	arabinogalactan	SYNONYM_ENRICH	ALREADY_REPRESENTED	mappings/ingredient_mappings_synonym_enrich_review.tsv	All proposed candidate text is already represented by preferred_term or synonyms.
MIM:~28-~29-Epigallocatechin_Gallate	(-)-Epigallocatechin gallate	CHEBI:4806	(-)-epigallocatechin 3-gallate	CONFIRMED	CONFIRMED_NO_ACTION	mappings/ingredient_mappings_oak_ols_review.tsv	OAK/OLS review confirmed mapping; no curation action required in this row-review pass.
MIM:~28-~29-Epinephrine	(-)-Epinephrine	CHEBI:28918	(R)-adrenaline	SYNONYM_ENRICH	ALREADY_REPRESENTED	mappings/ingredient_mappings_synonym_enrich_review.tsv	All proposed candidate text is already represented by preferred_term or synonyms.
MIM:~28-~29-Norepinephrine	(-)-Norepinephrine	CHEBI:18357	(R)-noradrenaline	CONFIRMED	CONFIRMED_NO_ACTION	mappings/ingredient_mappings_oak_ols_review.tsv	OAK/OLS review confirmed mapping; no curation action required in this row-review pass.
MIM:~28-~29-Verapamil_Hydrochloride	(+/-)-Verapamil hydrochloride	CHEBI:53188	verapamil hydrochloride	SYNONYM_ENRICH	ALREADY_REPRESENTED	mappings/ingredient_mappings_synonym_enrich_review.tsv	All proposed candidate text is already represented by preferred_term or synonyms.
MIM:~28-~29-alpha-bisabolol	(-)-alpha-bisabolol	CHEBI:125	(-)-alpha-Bisabolol	CONFIRMED	CONFIRMED_NO_ACTION	mappings/ingredient_mappings_oak_ols_review.tsv	OAK/OLS review confirmed mapping; no curation action required in this row-review pass.
MIM:~285z~29-4-bromo-5-~28bromomethylene~29-2~285h~29-furanone	(5z)-4-bromo-5-(bromomethylene)-2(5h)-furanone	cas:247167-54-0	(5z)-4-bromo-5-(bromomethylene)-2(5h)-furanone	UNKNOWN_TERM	expected_registry_identifier	mappings/ingredient_mappings_unknown_term_triage.tsv	keep; no mapping repair needed; CAS object_id matches YAML identifier or chemical_properties.cas_rn; CAS registry CURIEs are not OAK/OLS ontology terms.
MIM:~28R~29-3-hydroxybutyrate	(R)-3-hydroxybutyrate	CHEBI:37054	3-hydroxybutyrate	SYNONYM_ENRICH	ALREADY_REPRESENTED	mappings/ingredient_mappings_synonym_enrich_review.tsv	All proposed candidate text is already represented by preferred_term or synonyms.
MIM:~28S~29-3-hydroxybutyrate	(S)-3-hydroxybutyrate	CHEBI:37054	3-hydroxybutyrate	SYNONYM_ENRICH	ALREADY_REPRESENTED	mappings/ingredient_mappings_synonym_enrich_review.tsv	All proposed candidate text is already represented by preferred_term or synonyms.
MIM:02_Thiamine_Pyrophosphate	0.2% Thiamine pyrophosphate	CHEBI:9532	thiamine(1+) diphosphate	SYNONYM_ENRICH	ALREADY_REPRESENTED	mappings/ingredient_mappings_synonym_enrich_review.tsv	All proposed candidate text is already represented by preferred_term or synonyms.
MIM:05_M_Nitrilotriacetic_Acid_Disodium_Salt	0.5 M Nitrilotriacetic acid, disodium salt	CHEBI:132766	sodium nitrilotriacetate	SYNONYM_ENRICH	ALREADY_REPRESENTED	mappings/ingredient_mappings_synonym_enrich_review.tsv	All proposed candidate text is already represented by preferred_term or synonyms.
MIM:1-Kestose	1-Kestose	CHEBI:16885	1-kestose	CONFIRMED	CONFIRMED_NO_ACTION	mappings/ingredient_mappings_oak_ols_review.tsv	OAK/OLS review confirmed mapping; no curation action required in this row-review pass.
MIM:1-Pentanol	1-Pentanol	CHEBI:44884	pentan-1-ol	CONFIRMED	CONFIRMED_NO_ACTION	mappings/ingredient_mappings_oak_ols_review.tsv	OAK/OLS review confirmed mapping; no curation action required in this row-review pass.
MIM:1-aminocyclopropane-1-carboxylate	1-aminocyclopropane-1-carboxylate	CHEBI:18053	1-aminocyclopropanecarboxylic acid	SYNONYM_ENRICH	ALREADY_REPRESENTED	mappings/ingredient_mappings_synonym_enrich_review.tsv	All proposed candidate text is already represented by preferred_term or synonyms.
MIM:1-ethyl-3-methylimidazolium_Acetate	1-ethyl-3-methylimidazolium acetate	CHEBI:61326	1-ethyl-3-methylimidazolium	SYNONYM_ENRICH	ALREADY_REPRESENTED	mappings/ingredient_mappings_synonym_enrich_review.tsv	All proposed candidate text is already represented by preferred_term or synonyms.
MIM:1-ethyl-3-methylimidazolium_Acetate	1-ethyl-3-methylimidazolium acetate	cas:143314-17-4	1-ethyl-3-methylimidazolium acetate	UNKNOWN_TERM	expected_registry_identifier	mappings/ingredient_mappings_unknown_term_triage.tsv	keep; no mapping repair needed; CAS object_id matches YAML identifier or chemical_properties.cas_rn; CAS registry CURIEs are not OAK/OLS ontology terms.
MIM:1-ethyl-3-methylimidazolium_Acetate	1-ethyl-3-methylimidazolium acetate	kgmicrobe.compound:1-ethyl-3-methylimidazolium_acetate	1-ethyl-3-methylimidazolium acetate	UNKNOWN_TERM	expected_registry_identifier	mappings/ingredient_mappings_unknown_term_triage.tsv	keep; no mapping repair needed; kg-microbe registry CURIE is an expected local identity/companion row and is not an OAK/OLS ontology term.
MIM:1-ethyl-3-methylimidazolium_Chloride	1-ethyl-3-methylimidazolium chloride	CHEBI:61327	1-ethyl-3-methylimidazolium chloride	CONFIRMED	CONFIRMED_NO_ACTION	mappings/ingredient_mappings_oak_ols_review.tsv	OAK/OLS review confirmed mapping; no curation action required in this row-review pass.
MIM:1-ethyl-3-methylimidazolium_Lysine	1-ethyl-3-methylimidazolium lysine	CHEBI:61326	1-ethyl-3-methylimidazolium	SYNONYM_ENRICH	ALREADY_REPRESENTED	mappings/ingredient_mappings_synonym_enrich_review.tsv	All proposed candidate text is already represented by preferred_term or synonyms.
MIM:1-octen-3-ol	1-octen-3-ol	CHEBI:34118	oct-1-en-3-ol	CONFIRMED	CONFIRMED_NO_ACTION	mappings/ingredient_mappings_oak_ols_review.tsv	OAK/OLS review confirmed mapping; no curation action required in this row-review pass.
MIM:1-phenazinecarboxamide	1-phenazinecarboxamide	CHEBI:62240	phenazine-1-carboxamide	CONFIRMED	CONFIRMED_NO_ACTION	mappings/ingredient_mappings_oak_ols_review.tsv	OAK/OLS review confirmed mapping; no curation action required in this row-review pass.
MIM:112-trichloroethane	1,1,2-Trichloroethane	CHEBI:36018	1,1,2-trichloroethane	CONFIRMED	CONFIRMED_NO_ACTION	mappings/ingredient_mappings_oak_ols_review.tsv	OAK/OLS review confirmed mapping; no curation action required in this row-review pass.
MIM:12-Propanediol	1,2-Propanediol	CHEBI:16997	propane-1,2-diol	CONFIRMED	CONFIRMED_NO_ACTION	mappings/ingredient_mappings_oak_ols_review.tsv	OAK/OLS review confirmed mapping; no curation action required in this row-review pass.
MIM:12-dichloropropane	1,2-Dichloropropane	CHEBI:142468	1,2-dichloropropane	CONFIRMED	CONFIRMED_NO_ACTION	mappings/ingredient_mappings_oak_ols_review.tsv	OAK/OLS review confirmed mapping; no curation action required in this row-review pass.
MIM:13-Butandiol	1,3-Butandiol	CHEBI:52683	butane-1,3-diol	CONFIRMED	CONFIRMED_NO_ACTION	mappings/ingredient_mappings_oak_ols_review.tsv	OAK/OLS review confirmed mapping; no curation action required in this row-review pass.
MIM:13-Hexanediol	1,3-Hexanediol	cas:21531-91-9	1,3-Hexanediol	UNKNOWN_TERM	expected_registry_identifier	mappings/ingredient_mappings_unknown_term_triage.tsv	keep; no mapping repair needed; CAS object_id matches YAML identifier or chemical_properties.cas_rn; CAS registry CURIEs are not OAK/OLS ontology terms.
MIM:13-Propanediol	1,3-Propanediol	CHEBI:16109	propane-1,3-diol	CONFIRMED	CONFIRMED_NO_ACTION	mappings/ingredient_mappings_oak_ols_review.tsv	OAK/OLS review confirmed mapping; no curation action required in this row-review pass.
MIM:14-B-D-Galactobiose	1,4-B-D-Galactobiose	CHEBI:36226	beta-D-galactopyranosyl-(1->4)-D-galactopyranose	SYNONYM_ENRICH	ALREADY_REPRESENTED	mappings/ingredient_mappings_synonym_enrich_review.tsv	All proposed candidate text is already represented by preferred_term or synonyms.
MIM:14-B-D-Galactobiose	1,4-B-D-Galactobiose	cas:2152-98-9	1,4-B-D-Galactobiose	UNKNOWN_TERM	expected_registry_identifier	mappings/ingredient_mappings_unknown_term_triage.tsv	keep; no mapping repair needed; CAS object_id matches YAML identifier or chemical_properties.cas_rn; CAS registry CURIEs are not OAK/OLS ontology terms.
MIM:14-B-D-Galactobiose	1,4-B-D-Galactobiose	kgmicrobe.compound:14-b-d-galactobiose	1,4-B-D-Galactobiose	UNKNOWN_TERM	expected_registry_identifier	mappings/ingredient_mappings_unknown_term_triage.tsv	keep; no mapping repair needed; kg-microbe registry CURIE is an expected local identity/companion row and is not an OAK/OLS ontology term.
MIM:14-Butanediol	1,4-Butanediol	CHEBI:41189	butane-1,4-diol	CONFIRMED	CONFIRMED_NO_ACTION	mappings/ingredient_mappings_oak_ols_review.tsv	OAK/OLS review confirmed mapping; no curation action required in this row-review pass.
MIM:14-naphthoquinone	1,4-Naphthoquinone	CHEBI:27418	1,4-naphthoquinone	CONFIRMED	CONFIRMED_NO_ACTION	mappings/ingredient_mappings_oak_ols_review.tsv	OAK/OLS review confirmed mapping; no curation action required in this row-review pass.
MIM:15-Pentanediol	1,5-Pentanediol	CHEBI:185431	Pentane-1,5-diol	SYNONYM_ENRICH	ALREADY_REPRESENTED	mappings/ingredient_mappings_synonym_enrich_review.tsv	All proposed candidate text is already represented by preferred_term or synonyms.
MIM:16-Hexanediamine	1,6-Hexanediamine	cas:0124-09-4	1,6-Hexanediamine	UNKNOWN_TERM	expected_registry_identifier	mappings/ingredient_mappings_unknown_term_triage.tsv	keep; no mapping repair needed; CAS object_id matches YAML identifier or chemical_properties.cas_rn; CAS registry CURIEs are not OAK/OLS ontology terms.
MIM:18-Crown-6	18-Crown-6	CHEBI:32397	18-crown-6	CONFIRMED	CONFIRMED_NO_ACTION	mappings/ingredient_mappings_oak_ols_review.tsv	OAK/OLS review confirmed mapping; no curation action required in this row-review pass.
MIM:2-~28Methylthio~29ethanol	2-(Methylthio)ethanol	CHEBI:63861	2-methylthioethanol	CONFIRMED	CONFIRMED_NO_ACTION	mappings/ingredient_mappings_oak_ols_review.tsv	OAK/OLS review confirmed mapping; no curation action required in this row-review pass.
MIM:2-6-dihydroxybenzoic_Acid	2-6-dihydroxybenzoic acid	cas:0303-07-1	2-6-dihydroxybenzoic acid	UNKNOWN_TERM	expected_registry_identifier	mappings/ingredient_mappings_unknown_term_triage.tsv	keep; no mapping repair needed; CAS object_id matches YAML identifier or chemical_properties.cas_rn; CAS registry CURIEs are not OAK/OLS ontology terms.
MIM:2-Acetylpyrrole	2-Acetylpyrrole	CHEBI:59981	2-acetylpyrrole	CONFIRMED	CONFIRMED_NO_ACTION	mappings/ingredient_mappings_oak_ols_review.tsv	OAK/OLS review confirmed mapping; no curation action required in this row-review pass.
MIM:2-Azetidinone	2-Azetidinone	CHEBI:327119	azetidin-2-one	CONFIRMED	CONFIRMED_NO_ACTION	mappings/ingredient_mappings_oak_ols_review.tsv	OAK/OLS review confirmed mapping; no curation action required in this row-review pass.
