subject_id	subject_label	object_id	object_label	new_candidates	ingredient_yaml	review_status	missing_candidates_after_review	review_notes
MIM:~28~29-Arabinogalactan	(+)-Arabinogalactan	CHEBI:27569	arabinogalactan	(+)-Arabinogalactan	data/ingredients/mapped/()-Arabinogalactan.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:~28-~29-Epinephrine	(-)-Epinephrine	CHEBI:28918	(R)-adrenaline	(-)-Epinephrine	data/ingredients/mapped/(-)-Epinephrine.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:~28-~29-Verapamil_Hydrochloride	(+/-)-Verapamil hydrochloride	CHEBI:53188	verapamil hydrochloride	(+/-)-Verapamil hydrochloride	data/ingredients/mapped/(-)-Verapamil_Hydrochloride.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:~28R~29-3-hydroxybutyrate	(R)-3-hydroxybutyrate	CHEBI:37054	3-hydroxybutyrate	(R)-3-hydroxybutyrate	data/ingredients/mapped/(R)-3-hydroxybutyrate.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:~28S~29-3-hydroxybutyrate	(S)-3-hydroxybutyrate	CHEBI:37054	3-hydroxybutyrate	(S)-3-hydroxybutyrate	data/ingredients/mapped/(S)-3-hydroxybutyrate.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:02_Thiamine_Pyrophosphate	0.2% Thiamine pyrophosphate	CHEBI:9532	thiamine(1+) diphosphate	0.2% Thiamine pyrophosphate	data/ingredients/mapped/02_Thiamine_Pyrophosphate.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:05_M_Nitrilotriacetic_Acid_Disodium_Salt	0.5 M Nitrilotriacetic acid, disodium salt	CHEBI:132766	sodium nitrilotriacetate	0.5 M Nitrilotriacetic acid, disodium salt|Nitrilotriacetic acid, trisodium salt	data/ingredients/mapped/05_M_Nitrilotriacetic_Acid_Disodium_Salt.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:1-aminocyclopropane-1-carboxylate	1-aminocyclopropane-1-carboxylate	CHEBI:18053	1-aminocyclopropanecarboxylic acid	1-aminocyclopropane-1-carboxylate	data/ingredients/mapped/1-aminocyclopropane-1-carboxylate.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:1-ethyl-3-methylimidazolium_Acetate	1-ethyl-3-methylimidazolium acetate	CHEBI:61326	1-ethyl-3-methylimidazolium	1-ethyl-3-methylimidazolium acetate	data/ingredients/mapped/1-ethyl-3-methylimidazolium_Acetate.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:1-ethyl-3-methylimidazolium_Lysine	1-ethyl-3-methylimidazolium lysine	CHEBI:61326	1-ethyl-3-methylimidazolium	1-ethyl-3-methylimidazolium lysine	data/ingredients/mapped/1-ethyl-3-methylimidazolium_Lysine.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
