subject_id	subject_label	object_id	candidate_status	candidate_id	candidate_ontology	candidate_label	match_type	candidate_iri	notes	ingredient_yaml
MIM:Aburamycin_A	Aburamycin A	kgmicrobe.compound:aburamycin_a	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Aburamycin_A.yaml
MIM:Abyssomicin_B	Abyssomicin B	kgmicrobe.compound:abyssomicin_b	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Abyssomicin_B.yaml
MIM:Abyssomicin_G	Abyssomicin G	kgmicrobe.compound:abyssomicin_g	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Abyssomicin_G.yaml
MIM:Abyssomicin_H	Abyssomicin H	kgmicrobe.compound:abyssomicin_h	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Abyssomicin_H.yaml
MIM:Achromoviromycin	Achromoviromycin	kgmicrobe.compound:achromoviromycin	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Achromoviromycin.yaml
MIM:Actinohivin	Actinohivin	kgmicrobe.compound:actinohivin	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Actinohivin.yaml
MIM:Actinomycetin	Actinomycetin	kgmicrobe.compound:actinomycetin	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Actinomycetin.yaml
MIM:Alboverticillin	Alboverticillin	kgmicrobe.compound:alboverticillin	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Alboverticillin.yaml
MIM:Ascosin	Ascosin	kgmicrobe.compound:ascosin	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Ascosin.yaml
MIM:Azacolutin	Azacolutin	kgmicrobe.compound:azacolutin	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Azacolutin.yaml
MIM:Azureomycin	Azureomycin	kgmicrobe.compound:azureomycin	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Azureomycin.yaml
MIM:Bacteriocin_Isk_1	Bacteriocin Isk 1	kgmicrobe.compound:bacteriocin_isk_1	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Bacteriocin_Isk_1.yaml
MIM:Bafilomycin	Bafilomycin	kgmicrobe.compound:bafilomycin	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Bafilomycin.yaml
MIM:Bandamycin	Bandamycin	kgmicrobe.compound:bandamycin	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Bandamycin.yaml
MIM:Camphomycin	Camphomycin	kgmicrobe.compound:camphomycin	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Camphomycin.yaml
MIM:Canarius	Canarius	kgmicrobe.compound:canarius	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Canarius.yaml
MIM:Candimycin	Candimycin	kgmicrobe.compound:candimycin	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Candimycin.yaml
MIM:Carcinomycin	Carcinomycin	kgmicrobe.compound:carcinomycin	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Carcinomycin.yaml
MIM:Caryomycin	Caryomycin	kgmicrobe.compound:caryomycin	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Caryomycin.yaml
MIM:Cellostatin	Cellostatin	kgmicrobe.compound:cellostatin	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Cellostatin.yaml
MIM:Champamycin_B	Champamycin B	kgmicrobe.compound:champamycin_b	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Champamycin_B.yaml
MIM:Chaninin	Chaninin	kgmicrobe.compound:chaninin	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Chaninin.yaml
MIM:Chlororaphin	Chlororaphin	kgmicrobe.compound:chlororaphin	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Chlororaphin.yaml
MIM:Cinerubin_A	Cinerubin A	kgmicrobe.compound:cinerubin_a	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Cinerubin_A.yaml
MIM:Cladomycin	Cladomycin	kgmicrobe.compound:cladomycin	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Cladomycin.yaml
MIM:Collinomycin	Collinomycin	kgmicrobe.compound:collinomycin	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Collinomycin.yaml
MIM:Congocidin	Congocidin	kgmicrobe.compound:congocidin	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Congocidin.yaml
MIM:Cytovirin	Cytovirin	kgmicrobe.compound:cytovirin	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Cytovirin.yaml
MIM:Danomycin	Danomycin	kgmicrobe.compound:danomycin	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Danomycin.yaml
MIM:Danubomycin	Danubomycin	kgmicrobe.compound:danubomycin	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Danubomycin.yaml
MIM:Destomycin	Destomycin	kgmicrobe.compound:destomycin	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Destomycin.yaml
MIM:Dihydro_Azathymidine	Dihydro Azathymidine	kgmicrobe.compound:dihydro_azathymidine	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Dihydro_Azathymidine.yaml
MIM:Durhamycin	Durhamycin	kgmicrobe.compound:durhamycin	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Durhamycin.yaml
MIM:E_4_Aminostyryl_Acetate	E 4 Aminostyryl Acetate	kgmicrobe.compound:e_4_aminostyryl_acetate	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/E_4_Aminostyryl_Acetate.yaml
MIM:Etabetacin	Etabetacin	kgmicrobe.compound:etabetacin	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Etabetacin.yaml
MIM:Ethylenediamine_N_N_Prime_Disuccinic_Acid	Ethylenediamine N N Prime Disuccinic Acid	kgmicrobe.compound:ethylenediamine_n_n_prime_disuccinic_acid	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Ethylenediamine_N_N_Prime_Disuccinic_Acid.yaml
MIM:Eurocidin	Eurocidin	kgmicrobe.compound:eurocidin	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Eurocidin.yaml
MIM:Exfoliatin	Exfoliatin	kgmicrobe.compound:exfoliatin	NO_EXACT_CANDIDATE						No exact label/synonym candidate found in the 2026-05-06 EBI OLS placeholder search across chebi,mesh,ncit,micro,bto,foodon.	data/ingredients/mapped/Exfoliatin.yaml
