subject_id	subject_label	object_id	object_label	object_prefix	predicate_id	classification	repair_confidence	recommended_action	evidence	ingredient_yaml	yaml_identifier	yaml_cas_rn	yaml_ontology_id	yaml_mapping_quality	ingredient_type	kg_microbe_node_id	companion_non_identity_count	companion_registry_count	review_notes	external_ols_status	external_ols_label	external_ols_label_match
MIM:~285z~29-4-bromo-5-~28bromomethylene~29-2~285h~29-furanone	(5z)-4-bromo-5-(bromomethylene)-2(5h)-furanone	cas:247167-54-0	(5z)-4-bromo-5-(bromomethylene)-2(5h)-furanone	cas	skos:closeMatch	expected_registry_identifier	none	keep; no mapping repair needed	CAS object_id matches YAML identifier or chemical_properties.cas_rn; CAS registry CURIEs are not OAK/OLS ontology terms.								1	1	none|UNKNOWN_TERM|2026-05-06			
MIM:1-ethyl-3-methylimidazolium_Acetate	1-ethyl-3-methylimidazolium acetate	cas:143314-17-4	1-ethyl-3-methylimidazolium acetate	cas	skos:exactMatch	expected_registry_identifier	none	keep; no mapping repair needed	CAS object_id matches YAML identifier or chemical_properties.cas_rn; CAS registry CURIEs are not OAK/OLS ontology terms.	data/ingredients/mapped/1-ethyl-3-methylimidazolium_Acetate.yaml	cas:143314-17-4	143314-17-4	CHEBI:61326	NARROW_MATCH	SINGLE_INGREDIENT		1	2	none|UNKNOWN_TERM|2026-05-06			
MIM:1-ethyl-3-methylimidazolium_Acetate	1-ethyl-3-methylimidazolium acetate	kgmicrobe.compound:1-ethyl-3-methylimidazolium_acetate	1-ethyl-3-methylimidazolium acetate	kgmicrobe.compound	skos:exactMatch	expected_registry_identifier	none	keep; no mapping repair needed	kg-microbe registry CURIE is an expected local identity/companion row and is not an OAK/OLS ontology term.	data/ingredients/mapped/1-ethyl-3-methylimidazolium_Acetate.yaml	cas:143314-17-4	143314-17-4	CHEBI:61326	NARROW_MATCH	SINGLE_INGREDIENT		1	2	none|UNKNOWN_TERM|2026-05-06			
MIM:13-Hexanediol	1,3-Hexanediol	cas:21531-91-9	1,3-Hexanediol	cas	skos:closeMatch	expected_registry_identifier	none	keep; no mapping repair needed	CAS object_id matches YAML identifier or chemical_properties.cas_rn; CAS registry CURIEs are not OAK/OLS ontology terms.	data/ingredients/mapped/13-Hexanediol.yaml	cas:21531-91-9	21531-91-9	cas:21531-91-9	FALLBACK_REGISTRY	SINGLE_INGREDIENT		1	1	none|UNKNOWN_TERM|2026-05-06			
MIM:14-B-D-Galactobiose	1,4-B-D-Galactobiose	cas:2152-98-9	1,4-B-D-Galactobiose	cas	skos:exactMatch	expected_registry_identifier	none	keep; no mapping repair needed	CAS object_id matches YAML identifier or chemical_properties.cas_rn; CAS registry CURIEs are not OAK/OLS ontology terms.	data/ingredients/mapped/14-B-D-Galactobiose.yaml	cas:2152-98-9	2152-98-9	CHEBI:36226	NARROW_MATCH	SINGLE_INGREDIENT		1	2	none|UNKNOWN_TERM|2026-05-06			
MIM:14-B-D-Galactobiose	1,4-B-D-Galactobiose	kgmicrobe.compound:14-b-d-galactobiose	1,4-B-D-Galactobiose	kgmicrobe.compound	skos:exactMatch	expected_registry_identifier	none	keep; no mapping repair needed	kg-microbe registry CURIE is an expected local identity/companion row and is not an OAK/OLS ontology term.	data/ingredients/mapped/14-B-D-Galactobiose.yaml	cas:2152-98-9	2152-98-9	CHEBI:36226	NARROW_MATCH	SINGLE_INGREDIENT		1	2	none|UNKNOWN_TERM|2026-05-06			
MIM:16-Hexanediamine	1,6-Hexanediamine	cas:0124-09-4	1,6-Hexanediamine	cas	skos:closeMatch	expected_registry_identifier	none	keep; no mapping repair needed	CAS object_id matches YAML identifier or chemical_properties.cas_rn; CAS registry CURIEs are not OAK/OLS ontology terms.	data/ingredients/mapped/16-Hexanediamine.yaml	cas:0124-09-4	0124-09-4	cas:0124-09-4	FALLBACK_REGISTRY	SINGLE_INGREDIENT		1	1	none|UNKNOWN_TERM|2026-05-06			
MIM:2-6-dihydroxybenzoic_Acid	2-6-dihydroxybenzoic acid	cas:0303-07-1	2-6-dihydroxybenzoic acid	cas	skos:closeMatch	expected_registry_identifier	none	keep; no mapping repair needed	CAS object_id matches YAML identifier or chemical_properties.cas_rn; CAS registry CURIEs are not OAK/OLS ontology terms.	data/ingredients/mapped/2-6-dihydroxybenzoic_Acid.yaml	cas:0303-07-1	0303-07-1	cas:0303-07-1	FALLBACK_REGISTRY	SINGLE_INGREDIENT		1	1	none|UNKNOWN_TERM|2026-05-06			
MIM:2-Deoxy-D-ribonic_Acid_Lithium_Salt	2-Deoxy-D-ribonic acid lithium salt	cas:7284-15-3	2-Deoxy-D-ribonic acid lithium salt	cas	skos:exactMatch	expected_registry_identifier	none	keep; no mapping repair needed	CAS object_id matches YAML identifier or chemical_properties.cas_rn; CAS registry CURIEs are not OAK/OLS ontology terms.	data/ingredients/mapped/2-Deoxy-D-ribonic_Acid_Lithium_Salt.yaml	cas:7284-15-3	7284-15-3	CHEBI:86350	NARROW_MATCH	SINGLE_INGREDIENT		1	2	none|UNKNOWN_TERM|2026-05-06			
MIM:2-Deoxy-D-ribonic_Acid_Lithium_Salt	2-Deoxy-D-ribonic acid lithium salt	kgmicrobe.compound:2-deoxy-d-ribonic_acid_lithium_salt	2-Deoxy-D-ribonic acid lithium salt	kgmicrobe.compound	skos:exactMatch	expected_registry_identifier	none	keep; no mapping repair needed	kg-microbe registry CURIE is an expected local identity/companion row and is not an OAK/OLS ontology term.	data/ingredients/mapped/2-Deoxy-D-ribonic_Acid_Lithium_Salt.yaml	cas:7284-15-3	7284-15-3	CHEBI:86350	NARROW_MATCH	SINGLE_INGREDIENT		1	2	none|UNKNOWN_TERM|2026-05-06			
