file	identifier	preferred_term	mapping_status	ontology_id	ontology_label	review_verdict	reviewer_notes
(-)-quinic_Acid.yaml	CHEBI:17521	(-)-quinic Acid	PENDING_REVIEW	CHEBI:17521	(-)-quinic acid	PENDING	
(R)-amygdalin.yaml	CHEBI:17019	(R)-amygdalin	PENDING_REVIEW	CHEBI:17019	(R)-amygdalin	PENDING	
(R)-lactate.yaml	CHEBI:16004	(R)-lactate	PENDING_REVIEW	CHEBI:16004	(R)-lactate	PENDING	
(R)-malic_Acid.yaml	CHEBI:30796	(R)-malic Acid	PENDING_REVIEW	CHEBI:30796	(R)-malic acid	PENDING	
(S)-azetidine-2-carboxylic_Acid.yaml	CHEBI:6198	(S)-azetidine-2-carboxylic Acid	PENDING_REVIEW	CHEBI:6198	(S)-azetidine-2-carboxylic acid	PENDING	
(S)-mandelic_Acid.yaml	CHEBI:32800	(S)-mandelic Acid	PENDING_REVIEW	CHEBI:32800	(S)-mandelic acid	PENDING	
1-methylphenanthrene.yaml	CHEBI:35860	1-methylphenanthrene	PENDING_REVIEW	CHEBI:35860	1-methylphenanthrene	PENDING	
2-aminopentanoic_Acid.yaml	CHEBI:19475	2-aminopentanoic Acid	PENDING_REVIEW	CHEBI:19475	2-aminopentanoic acid	PENDING	
2-dehydro-D-gluconate.yaml	CHEBI:16808	2-dehydro-D-gluconate	PENDING_REVIEW	CHEBI:16808	2-dehydro-D-gluconate	PENDING	
2-hydroxybutyrate.yaml	CHEBI:64552	2-hydroxybutyrate	PENDING_REVIEW	CHEBI:64552	2-hydroxybutyrate	PENDING	
2-naphthyl_Dihydrogen_Phosphate.yaml	CHEBI:91043	2-naphthyl Dihydrogen Phosphate	PENDING_REVIEW	CHEBI:91043	2-naphthyl dihydrogen phosphate	PENDING	
2-naphthyl_Tetradecanoate.yaml	CHEBI:90249	2-naphthyl Tetradecanoate	PENDING_REVIEW	CHEBI:90249	2-naphthyl tetradecanoate	PENDING	
2-oxobutanoate.yaml	CHEBI:16763	2-oxobutanoate	PENDING_REVIEW	CHEBI:16763	2-oxobutanoate	PENDING	
2-oxopentanoate.yaml	CHEBI:28644	2-oxopentanoate	PENDING_REVIEW	CHEBI:28644	2-oxopentanoate	PENDING	
3-aminobutyrate.yaml	CHEBI:87997	3-aminobutyrate	PENDING_REVIEW	CHEBI:87997	3-aminobutyrate	PENDING	
3-dehydro-D-gluconate.yaml	CHEBI:85256	3-dehydro-D-gluconate	PENDING_REVIEW	CHEBI:85256	3-dehydro-D-gluconate	PENDING	
3-hydroxybenzoate.yaml	CHEBI:16193	3-hydroxybenzoate	PENDING_REVIEW	CHEBI:16193	3-hydroxybenzoate	PENDING	
3-hydroxybutyrate.yaml	CHEBI:37054	3-hydroxybutyrate	PENDING_REVIEW	CHEBI:37054	3-hydroxybutyrate	PENDING	
3-nitropropanoate.yaml	CHEBI:59899	3-nitropropanoate	PENDING_REVIEW	CHEBI:59899	3-nitropropanoate	PENDING	
3-phenylpropionate.yaml	CHEBI:51057	3-phenylpropionate	PENDING_REVIEW	CHEBI:51057	3-phenylpropionate	PENDING	
3-trehalosamine.yaml	CHEBI:223561	3-trehalosamine	PENDING_REVIEW	CHEBI:223561	3-trehalosamine	PENDING	
4-coumarate.yaml	CHEBI:32373	4-coumarate	PENDING_REVIEW	CHEBI:32373	4-coumarate	PENDING	
4-hydroxy-L-proline.yaml	CHEBI:18240	4-hydroxy-L-proline	PENDING_REVIEW	CHEBI:18240	4-hydroxy-L-proline	PENDING	
4-hydroxybutyrate.yaml	CHEBI:16724	4-hydroxybutyrate	PENDING_REVIEW	CHEBI:16724	4-hydroxybutyrate	PENDING	
4-methylumbelliferone_Beta-d-glucuronide.yaml	CHEBI:1904	4-methylumbelliferone Beta-d-glucuronide	PENDING_REVIEW	CHEBI:1904	4-methylumbelliferone beta-D-glucuronide	PENDING	
4-nitrophenyl_6-O-phosphono-beta-D-galactoside.yaml	CHEBI:90128	4-nitrophenyl 6-O-phosphono-beta-D-galactoside	PENDING_REVIEW	CHEBI:90128	4-nitrophenyl 6-O-phosphono-beta-D-galactoside	PENDING	
4-nitrophenyl_Beta-D-glucuronide.yaml	CHEBI:90146	4-nitrophenyl Beta-D-glucuronide	PENDING_REVIEW	CHEBI:90146	4-nitrophenyl beta-D-glucuronide	PENDING	
4-nitrophenyl_N-acetyl-beta-D-glucosaminide.yaml	CHEBI:90343	4-nitrophenyl N-acetyl-beta-D-glucosaminide	PENDING_REVIEW	CHEBI:90343	4-nitrophenyl N-acetyl-beta-D-glucosaminide	PENDING	
4-nitrophenyl_Phosphate.yaml	CHEBI:17440	4-nitrophenyl Phosphate	PENDING_REVIEW	CHEBI:17440	4-nitrophenyl phosphate	PENDING	
4-oxopentanoate.yaml	CHEBI:39150	4-oxopentanoate	PENDING_REVIEW	CHEBI:39150	4-oxopentanoate	PENDING	
4h-pyran-4-one.yaml	CHEBI:37966	4h-pyran-4-one	PENDING_REVIEW	CHEBI:37966	4H-pyran-4-one	PENDING	
5-dehydro-D-gluconate.yaml	CHEBI:58143	5-dehydro-D-gluconate	PENDING_REVIEW	CHEBI:58143	5-dehydro-D-gluconate	PENDING	
5-oxoproline.yaml	CHEBI:16010	5-oxoproline	PENDING_REVIEW	CHEBI:16010	5-oxoproline	PENDING	
8-azaguanine.yaml	CHEBI:63486	8-azaguanine	PENDING_REVIEW	CHEBI:63486	8-azaguanine	PENDING	
Abikoviromycin.yaml	CHEBI:210557	Abikoviromycin	PENDING_REVIEW	CHEBI:210557	Abikoviromycin	PENDING	
Acetamide.yaml	CHEBI:27856	Acetamide	PENDING_REVIEW	CHEBI:27856	acetamide	PENDING	
Acetoacetate.yaml	CHEBI:13705	Acetoacetate	PENDING_REVIEW	CHEBI:13705	acetoacetate	PENDING	
Acetoin.yaml	CHEBI:15688	Acetoin	PENDING_REVIEW	CHEBI:15688	acetoin	PENDING	
Acetomycin.yaml	CHEBI:209246	Acetomycin	PENDING_REVIEW	CHEBI:209246	Acetomycin	PENDING	
Acetylene.yaml	CHEBI:27518	Acetylene	PENDING_REVIEW	CHEBI:27518	acetylene	PENDING	
Adenosine_5-monophosphate.yaml	CHEBI:16027	Adenosine 5'-monophosphate	PENDING_REVIEW	CHEBI:16027	adenosine 5'-monophosphate	PENDING	
Alazopeptin.yaml	CHEBI:222816	Alazopeptin	PENDING_REVIEW	CHEBI:222816	Alazopeptin	PENDING	
Alginate.yaml	CHEBI:58187	Alginate	PENDING_REVIEW	CHEBI:58187	alginate	PENDING	
Alpha-D-glucose_6-phosphate.yaml	CHEBI:17665	Alpha-D-glucose 6-phosphate	PENDING_REVIEW	CHEBI:17665	alpha-D-glucose 6-phosphate	PENDING	
Alpha-aminobutyrate.yaml	CHEBI:86508	Alpha-aminobutyrate	PENDING_REVIEW	CHEBI:86508	alpha-aminobutyrate	PENDING	
Althiomycin.yaml	CHEBI:157683	Althiomycin	PENDING_REVIEW	CHEBI:157683	althiomycin	PENDING	
Amicoumacin_B.yaml	CHEBI:216618	Amicoumacin B	PENDING_REVIEW	CHEBI:216618	Amicoumacin B	PENDING	
Amikacin.yaml	CHEBI:2637	Amikacin	PENDING_REVIEW	CHEBI:2637	amikacin	PENDING	
Amino_Acid.yaml	CHEBI:33709	Amino Acid	PENDING_REVIEW	CHEBI:33709	amino acid	PENDING	
Aminoglycoside_Antibiotic.yaml	CHEBI:22507	Aminoglycoside Antibiotic	PENDING_REVIEW	CHEBI:22507	aminoglycoside antibiotic	PENDING	
Aminophenazone.yaml	CHEBI:160246	Aminophenazone	PENDING_REVIEW	CHEBI:160246	aminophenazone	PENDING	
Ammonia.yaml	CHEBI:16134	Ammonia	PENDING_REVIEW	CHEBI:16134	ammonia	PENDING	
Ammonium.yaml	CHEBI:28938	Ammonium	PENDING_REVIEW	CHEBI:28938	ammonium	PENDING	
Amphomycin.yaml	CHEBI:201652	Amphomycin	PENDING_REVIEW	CHEBI:201652	Amphomycin	PENDING	
Amygdalin.yaml	CHEBI:27613	Amygdalin	PENDING_REVIEW	CHEBI:27613	amygdalin	PENDING	
Anthracene.yaml	CHEBI:35298	Anthracene	PENDING_REVIEW	CHEBI:35298	anthracene	PENDING	
Anthracycline_Antibiotic.yaml	CHEBI:49322	Anthracycline Antibiotic	PENDING_REVIEW	CHEBI:49322	anthracycline antibiotic	PENDING	
Antimycin_A3.yaml	CHEBI:197950	Antimycin A3	PENDING_REVIEW	CHEBI:197950	Antimycin A3	PENDING	
Aphidicolin.yaml	CHEBI:2766	Aphidicolin	PENDING_REVIEW	CHEBI:2766	aphidicolin	PENDING	
Apramycin.yaml	CHEBI:2790	Apramycin	PENDING_REVIEW	CHEBI:2790	apramycin	PENDING	
Arabinitol.yaml	CHEBI:22605	Arabinitol	PENDING_REVIEW	CHEBI:22605	arabinitol	PENDING	
Arbutin.yaml	NCIT:C87429	Arbutin	PENDING_REVIEW	NCIT:C87429	Arbutin	PENDING	
Ascomycin.yaml	CHEBI:29582	Ascomycin	PENDING_REVIEW	CHEBI:29582	ascomycin	PENDING	
Ascorbate.yaml	CHEBI:22651	Ascorbate	PENDING_REVIEW	CHEBI:22651	ascorbate	PENDING	
Aspartate.yaml	CHEBI:132943	Aspartate	PENDING_REVIEW	CHEBI:132943	aspartate	PENDING	
Astaxanthin.yaml	CHEBI:40968	Astaxanthin	PENDING_REVIEW	CHEBI:40968	astaxanthin	PENDING	
Astromicin.yaml	CHEBI:37923	Astromicin	PENDING_REVIEW	CHEBI:37923	astromicin	PENDING	
Aureothricin.yaml	CHEBI:156452	Aureothricin	PENDING_REVIEW	CHEBI:156452	aureothricin	PENDING	
Avermectin.yaml	CHEBI:50344	Avermectin	PENDING_REVIEW	CHEBI:50344	avermectin	PENDING	
Azaserine.yaml	CHEBI:74846	Azaserine	PENDING_REVIEW	CHEBI:74846	azaserine	PENDING	
Azelaate.yaml	CHEBI:132955	Azelaate	PENDING_REVIEW	CHEBI:132955	azelaate	PENDING	
Azithromycin.yaml	CHEBI:2955	Azithromycin	PENDING_REVIEW	CHEBI:2955	azithromycin	PENDING	
Bacteriochlorophyll_A.yaml	CHEBI:30033	Bacteriochlorophyll A	PENDING_REVIEW	CHEBI:30033	bacteriochlorophyll a	PENDING	
Balhimycin.yaml	CHEBI:47250	Balhimycin	PENDING_REVIEW	CHEBI:47250	balhimycin	PENDING	
Benzene.yaml	CHEBI:16716	Benzene	PENDING_REVIEW	CHEBI:16716	benzene	PENDING	
Benzoate.yaml	CHEBI:16150	Benzoate	PENDING_REVIEW	CHEBI:16150	benzoate	PENDING	
Benzoin.yaml	CHEBI:17682	Benzoin	PENDING_REVIEW	CHEBI:17682	benzoin	PENDING	
Benzyl_Alcohol.yaml	CHEBI:17987	Benzyl Alcohol	PENDING_REVIEW	CHEBI:17987	benzyl alcohol	PENDING	
Beta-D-fucose.yaml	CHEBI:27442	Beta-D-fucose	PENDING_REVIEW	CHEBI:27442	beta-D-fucose	PENDING	
Beta-D-galactoside.yaml	CHEBI:28034	Beta-D-galactoside	PENDING_REVIEW	CHEBI:28034	beta-D-galactoside	PENDING	
Beta-D-glucuronic_Acid.yaml	CHEBI:28860	Beta-D-glucuronic Acid	PENDING_REVIEW	CHEBI:28860	beta-D-glucuronic acid	PENDING	
Beta-D-xylose.yaml	CHEBI:28161	Beta-D-xylose	PENDING_REVIEW	CHEBI:28161	beta-D-xylose	PENDING	
Beta-d-glucose.yaml	CHEBI:15903	Beta-d-glucose	PENDING_REVIEW	CHEBI:15903	beta-D-glucose	PENDING	
Bile_Acid.yaml	CHEBI:3098	Bile Acid	PENDING_REVIEW	CHEBI:3098	bile acid	PENDING	
Biphenyl.yaml	CHEBI:17097	Biphenyl	PENDING_REVIEW	CHEBI:17097	biphenyl	PENDING	
Blasticidin_A.yaml	CHEBI:218571	Blasticidin A	PENDING_REVIEW	CHEBI:218571	Blasticidin A	PENDING	
Blasticidin_S.yaml	CHEBI:15353	Blasticidin S	PENDING_REVIEW	CHEBI:15353	blasticidin S	PENDING	
Bleomycin.yaml	CHEBI:22907	Bleomycin	PENDING_REVIEW	CHEBI:22907	bleomycin	PENDING	
Bluensomycin.yaml	CHEBI:81193	Bluensomycin	PENDING_REVIEW	CHEBI:81193	Bluensomycin	PENDING	
Borrelidin.yaml	CHEBI:78661	Borrelidin	PENDING_REVIEW	CHEBI:78661	borrelidin	PENDING	
Bromosuccinate.yaml	CHEBI:73706	Bromosuccinate	PENDING_REVIEW	CHEBI:73706	bromosuccinate	PENDING	
Butan-1-amine.yaml	CHEBI:43799	Butan-1-amine	PENDING_REVIEW	CHEBI:43799	butan-1-amine	PENDING	
Butyrate.yaml	CHEBI:17968	Butyrate	PENDING_REVIEW	CHEBI:17968	butyrate	PENDING	
Calcium(2).yaml	CHEBI:29108	Calcium(2+)	PENDING_REVIEW	CHEBI:29108	calcium(2+)	PENDING	
Capreomycin.yaml	CHEBI:3371	Capreomycin	PENDING_REVIEW	CHEBI:3371	capreomycin	PENDING	
Carbon_Monoxide.yaml	CHEBI:17245	Carbon Monoxide	PENDING_REVIEW	CHEBI:17245	carbon monoxide	PENDING	
Carminomycin.yaml	CHEBI:31359	Carminomycin	PENDING_REVIEW	CHEBI:31359	carminomycin	PENDING	
Carotenoid.yaml	CHEBI:23044	Carotenoid	PENDING_REVIEW	CHEBI:23044	carotenoid	PENDING	
Carrageenan.yaml	CHEBI:3435	Carrageenan	PENDING_REVIEW	CHEBI:3435	carrageenan	PENDING	
Cefadroxil.yaml	CHEBI:3479	Cefadroxil	PENDING_REVIEW	CHEBI:3479	cefadroxil	PENDING	
Cefaloridine.yaml	CHEBI:3537	Cefaloridine	PENDING_REVIEW	CHEBI:3537	cefaloridine	PENDING	
Cefalotin.yaml	CHEBI:124991	Cefalotin	PENDING_REVIEW	CHEBI:124991	cefalotin	PENDING	
Cefamandole.yaml	CHEBI:3480	Cefamandole	PENDING_REVIEW	CHEBI:3480	cefamandole	PENDING	
Cefminox.yaml	CHEBI:135817	Cefminox	PENDING_REVIEW	CHEBI:135817	cefminox	PENDING	
Cefoperazone.yaml	CHEBI:3493	Cefoperazone	PENDING_REVIEW	CHEBI:3493	cefoperazone	PENDING	
Cefotaxime.yaml	CHEBI:204928	Cefotaxime	PENDING_REVIEW	CHEBI:204928	cefotaxime	PENDING	
Cefotetan.yaml	CHEBI:3499	Cefotetan	PENDING_REVIEW	CHEBI:3499	cefotetan	PENDING	
Cefoxitin.yaml	CHEBI:209807	Cefoxitin	PENDING_REVIEW	CHEBI:209807	cefoxitin	PENDING	
Cefpodoxime.yaml	CHEBI:3504	Cefpodoxime	PENDING_REVIEW	CHEBI:3504	cefpodoxime	PENDING	
Cefprozil.yaml	CHEBI:3506	Cefprozil	PENDING_REVIEW	CHEBI:3506	cefprozil	PENDING	
Ceftazidime.yaml	CHEBI:3508	Ceftazidime	PENDING_REVIEW	CHEBI:3508	ceftazidime	PENDING	
Ceftriaxone.yaml	CHEBI:29007	Ceftriaxone	PENDING_REVIEW	CHEBI:29007	ceftriaxone	PENDING	
Cefuroxime.yaml	CHEBI:3515	Cefuroxime	PENDING_REVIEW	CHEBI:3515	cefuroxime	PENDING	
