chebi_id	source_term	ols_label	ols_obsolete	in_local_chebi_db
CHEBI:338412	(-)-anisomycin	(-)-anisomycin	False	yes
CHEBI:747005	1-chlorobutane	1-chlorobutane	False	yes
CHEBI:747004	1-chloropropane	1-chloropropane	False	yes
CHEBI:546840	4-nitrophenyl Alpha-D-galactoside	4-nitrophenyl alpha-D-galactoside	False	yes
CHEBI:756054	Carbomycin	carbomycin	False	no
CHEBI:474053	Cefazolin	cefazolin	False	yes
CHEBI:478164	Cefepime	cefepime	False	yes
CHEBI:472657	Cefixime	cefixime	False	yes
CHEBI:355510	Cefotiam	cefotiam	False	yes
CHEBI:759883	Colistin Sulfate	colistin sulfate	False	no
CHEBI:404903	Ertapenem	ertapenem	False	yes
CHEBI:495056	Gamma-cyclodextrin	gamma-cyclodextrin	False	yes
CHEBI:759884	Gentamicin	gentamicin	False	no
CHEBI:471744	Imipenem	imipenem	False	yes
CHEBI:753395	Lysostaphin	lysostaphin	False	no
CHEBI:748901	Netilmicin	netilmicin	False	no
CHEBI:759086	Polymyxin B	polymyxin b	False	no
