identifier	preferred_term
UNMAPPED_0809	(+)-D-glycogen
UNMAPPED_0824	(+)-L-lyxitol
UNMAPPED_0735	1-butanol+CO2
UNMAPPED_0715	1-propanol+CO2
UNMAPPED_0679	2-butanol+CO2
UNMAPPED_0674	2-propanol+CO2
UNMAPPED_0716	BHI
UNMAPPED_0740	CMC + PY + Horse Serum
UNMAPPED_0739	Casitone + Yeast Extract + Rumen Fluid
UNMAPPED_0741	Corn Steep Liquor + Glucose + Fumarate
UNMAPPED_0701	Cyclopentanol+CO2
UNMAPPED_0742	Fastidious Anaerobe Broth With Meat Granules
UNMAPPED_0711	Fermented Rumen Extract
UNMAPPED_0743	Formate+3-methyl Mercaptopropionate
UNMAPPED_0744	Formate+dimethylsulfide
UNMAPPED_0745	Formate+methanol
UNMAPPED_0746	Formate+tetramethylammonium
UNMAPPED_0747	Formate+trimethylamine
UNMAPPED_0755	GYPS
UNMAPPED_0748	Gallate + Formate
UNMAPPED_0702	Glucose + Acetate
UNMAPPED_0749	Glucose + Cellobiose + Starch + Trypticase + Yeast Extract
UNMAPPED_0750	Glucose + Formate
UNMAPPED_0751	Glucose + Lactate
UNMAPPED_0752	Glucose + Maltose + Cellobiose + Starch + Glycerol
UNMAPPED_0754	Glucose + Xylose
UNMAPPED_0675	Glucose + Yeast Extract
UNMAPPED_0753	Glucose Peptone-yeast Extract
UNMAPPED_0631	H2 + CO2
UNMAPPED_0756	H2+3-methyl Mercaptopropionate
UNMAPPED_0757	H2+dimethylsulfide
UNMAPPED_0703	H2+methanol
UNMAPPED_0758	H2+tetramethylammonium
UNMAPPED_0759	H2+trimethylamine
UNMAPPED_0763	Modified Cooked Meat Medium
UNMAPPED_0764	Mono- And Disaccharides
UNMAPPED_0768	PY-glucose-rumen Fluid
UNMAPPED_0771	PYEG
UNMAPPED_0628	PYG
UNMAPPED_0773	PYG + Rumen Fluid
UNMAPPED_0704	PYGS
UNMAPPED_0835	Peptone (0.01 %
UNMAPPED_0765	Peptone + Beef Extract + Yeast Extract
UNMAPPED_0717	Peptone + Yeast Extract
UNMAPPED_0766	Peptone-yeast Extract-glucose
UNMAPPED_0718	Peptones
UNMAPPED_0843	Sodium(+)
UNMAPPED_0705	Sucrose + Yeast Extract
UNMAPPED_0776	TYGVS + Glucose
UNMAPPED_0668	Trypticase-glucose-yeast Extract
UNMAPPED_0849	Tryptone/yeast/beef (tyb)
UNMAPPED_0781	Yeast + Meat Extract + H2
UNMAPPED_0700	Yeast Extract (0.01 %
UNMAPPED_0777	Yeast Extract + Gluconate
UNMAPPED_0778	Yeast Extract + Glucose
UNMAPPED_0779	Yeast Extract + Peptone
UNMAPPED_0780	Yeast Extract + Sulfur
