identifier	preferred_term	target_id	target_source	canonical_label	quality	matched_via	note
UNMAPPED_0783	(2)-D-lyxose	CHEBI:62318	CHEBI	D-lyxose	EXACT_MATCH	D-lyxose	microbedecoder residual; exact match to CHEBI:62318 via 'D-lyxose'. Import did exact-label-only and missed this.
UNMAPPED_0782	2-aminobenzoate	CHEBI:16567	CHEBI	anthranilate	SYNONYM_MATCH	2-aminobenzoate	microbedecoder residual; exact match to CHEBI:16567 via '2-aminobenzoate'. Import did exact-label-only and missed this.
UNMAPPED_0660	2-deoxyadenosine	CHEBI:17256	CHEBI	2'-deoxyadenosine	EXACT_MATCH	2'-deoxyadenosine	"microbedecoder residual; exact match to CHEBI:17256 via ""2'-deoxyadenosine"". Import did exact-label-only and missed this."
UNMAPPED_0669	4-nitrophenyl Alpha-D-glucopyranoside	CHEBI:91122	CHEBI	4-nitrophenyl alpha-D-glucoside	SYNONYM_MATCH	4-nitrophenyl Alpha-D-glucopyranoside	microbedecoder residual; exact match to CHEBI:91122 via '4-nitrophenyl Alpha-D-glucopyranoside'. Import did exact-label-only and missed this.
UNMAPPED_0652	4-nitrophenyl Beta-D-glucopyranoside	CHEBI:90259	CHEBI	4-nitrophenyl beta-D-glucoside	SYNONYM_MATCH	4-nitrophenyl Beta-D-glucopyranoside	microbedecoder residual; exact match to CHEBI:90259 via '4-nitrophenyl Beta-D-glucopyranoside'. Import did exact-label-only and missed this.
UNMAPPED_0681	4-nitrophenyl Beta-D-xylopyranoside	CHEBI:90148	CHEBI	4-nitrophenyl beta-D-xyloside	SYNONYM_MATCH	4-nitrophenyl Beta-D-xylopyranoside	microbedecoder residual; exact match to CHEBI:90148 via '4-nitrophenyl Beta-D-xylopyranoside'. Import did exact-label-only and missed this.
UNMAPPED_0797	Antimonate	CHEBI:30295	CHEBI	antimonate(3-)	SYNONYM_MATCH	Antimonate	microbedecoder residual; exact match to CHEBI:30295 via 'Antimonate'. Import did exact-label-only and missed this.
UNMAPPED_0653	Bis-4-nitrophenyl Phosphate	CHEBI:3122	CHEBI	bis-4-nitrophenyl phosphate	EXACT_MATCH	Bis-4-nitrophenyl Phosphate	microbedecoder residual; exact match to CHEBI:3122 via 'Bis-4-nitrophenyl Phosphate'. Import did exact-label-only and missed this.
UNMAPPED_0641	D-aspartate	CHEBI:29994	CHEBI	D-aspartate(2-)	SYNONYM_MATCH	D-aspartate	microbedecoder residual; exact match to CHEBI:29994 via 'D-aspartate'. Import did exact-label-only and missed this.
UNMAPPED_0644	D-glucarate	CHEBI:30612	CHEBI	D-glucarate(2-)	SYNONYM_MATCH	D-glucarate	microbedecoder residual; exact match to CHEBI:30612 via 'D-glucarate'. Import did exact-label-only and missed this.
UNMAPPED_0728	D-glycerate	CHEBI:16659	CHEBI	D-glycerate	EXACT_MATCH	D-glycerate	microbedecoder residual; exact match to CHEBI:16659 via 'D-glycerate'. Import did exact-label-only and missed this.
UNMAPPED_0624	Glutamate	CHEBI:29987	CHEBI	glutamate(2-)	SYNONYM_MATCH	Glutamate	microbedecoder residual; exact match to CHEBI:29987 via 'Glutamate'. Import did exact-label-only and missed this.
UNMAPPED_0684	Glycyl-L-proline	CHEBI:70744	CHEBI	Gly-Pro	SYNONYM_MATCH	Glycyl-L-proline	microbedecoder residual; exact match to CHEBI:70744 via 'Glycyl-L-proline'. Import did exact-label-only and missed this.
UNMAPPED_0818	Glycylglycylglycine	CHEBI:63961	CHEBI	glycyl-glycyl-glycine	SYNONYM_MATCH	Glycylglycylglycine	microbedecoder residual; exact match to CHEBI:63961 via 'Glycylglycylglycine'. Import did exact-label-only and missed this.
UNMAPPED_0689	L-alanylglycine	CHEBI:73757	CHEBI	Ala-Gly	SYNONYM_MATCH	L-alanylglycine	microbedecoder residual; exact match to CHEBI:73757 via 'L-alanylglycine'. Import did exact-label-only and missed this.
UNMAPPED_0633	L-aspartate	CHEBI:29991	CHEBI	L-aspartate(1-)	SYNONYM_MATCH	L-aspartate	microbedecoder residual; exact match to CHEBI:29991 via 'L-aspartate'. Import did exact-label-only and missed this.
UNMAPPED_0837	Poly(ethylene Terephthalate)	CHEBI:53259	CHEBI	poly(ethylene terephthalate) macromolecule	SYNONYM_MATCH	Poly(ethylene Terephthalate)	microbedecoder residual; exact match to CHEBI:53259 via 'Poly(ethylene Terephthalate)'. Import did exact-label-only and missed this.
UNMAPPED_0658	Polysaccharides	CHEBI:18154	CHEBI	polysaccharide	SYNONYM_MATCH	Polysaccharides	microbedecoder residual; exact match to CHEBI:18154 via 'Polysaccharides'. Import did exact-label-only and missed this.
UNMAPPED_0732	Selenite	CHEBI:18212	CHEBI	selenite(2-)	SYNONYM_MATCH	Selenite	microbedecoder residual; exact match to CHEBI:18212 via 'Selenite'. Import did exact-label-only and missed this.
UNMAPPED_0686	Trithionate	CHEBI:15987	CHEBI	trithionate(2-)	SYNONYM_MATCH	Trithionate	microbedecoder residual; exact match to CHEBI:15987 via 'Trithionate'. Import did exact-label-only and missed this.
