old_curie	current_curie	retired_at	reason
MIM:(-)-anisomycin	MIM:~28-~29-anisomycin	2026-08-21	subject_escaping: published spelling left a character unescaped; mim_curie_for_stem escapes it as ~HEX
MIM:(-)-quinic_Acid	MIM:~28-~29-quinic_Acid	2026-08-21	subject_escaping: published spelling left a character unescaped; mim_curie_for_stem escapes it as ~HEX
MIM:(R)-amygdalin	MIM:~28R~29-amygdalin	2026-08-21	subject_escaping: published spelling left a character unescaped; mim_curie_for_stem escapes it as ~HEX
MIM:(R)-lactate	MIM:~28R~29-lactate	2026-08-21	subject_escaping: published spelling left a character unescaped; mim_curie_for_stem escapes it as ~HEX
MIM:(R)-malic_Acid	MIM:~28R~29-malic_Acid	2026-08-21	subject_escaping: published spelling left a character unescaped; mim_curie_for_stem escapes it as ~HEX
MIM:(S)-azetidine-2-carboxylic_Acid	MIM:~28S~29-azetidine-2-carboxylic_Acid	2026-08-21	subject_escaping: published spelling left a character unescaped; mim_curie_for_stem escapes it as ~HEX
MIM:(S)-mandelic_Acid	MIM:~28S~29-mandelic_Acid	2026-08-21	subject_escaping: published spelling left a character unescaped; mim_curie_for_stem escapes it as ~HEX
MIM:2-D-lyxose	MIM:~282~29-D-lyxose	2026-08-21	subject_stem: the stem itself changed (character stripped, or the record was relabelled); verified same record by identical subject_label + object_id + predicate_id
MIM:2-phenylethylamine	MIM:Phenethylamine_Hydrochloride	2026-08-21	subject_stem: the stem itself changed (character stripped, or the record was relabelled); verified same record by identical subject_label + object_id + predicate_id
MIM:84_gL_NaHCO3_solution	MIM:84_GL_NaHCO3_Solution	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:ATCC_Wolfes_mineral_mix	MIM:ATCC_Wolfes_Mineral_Mix	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:ATCC_Wolfes_mineral_mix_minus_iron	MIM:ATCC_Wolfes_Mineral_Mix_Minus_Iron	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:ATCC_Wolfes_vitamin_mix	MIM:ATCC_Wolfes_Vitamin_Mix	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:BG-11_Trace_Metals_Solution	MIM:Bg-11_Trace_Metals_Solution	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Bis_2-ethylhexylphthalate	MIM:Bis~282-ethylhexyl~29phthalate	2026-08-21	subject_stem: the stem itself changed (character stripped, or the record was relabelled); verified same record by identical subject_label + object_id + predicate_id
MIM:CaSO42H2Osaturated_solution	MIM:Caso42h2osaturated_Solution	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Calcium(2)	MIM:Calcium~282~29	2026-08-21	subject_escaping: published spelling left a character unescaped; mim_curie_for_stem escapes it as ~HEX
MIM:Carbon_source_solution	MIM:Carbon_Source_Solution	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Cholesterol_lipid_concentrate	MIM:Cholesterol_Lipid_Concentrate	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:DAS_Macro_Solution	MIM:Das_Macro_Solution	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:DAS_Vitamin_Cocktail	MIM:Das_Vitamin_Cocktail	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:DL_vitamins	MIM:DL_Vitamins	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:DYV_Metal_Solution	MIM:Dyv_Metal_Solution	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:EDTA_Stock	MIM:Edta_Stock	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Enrichment_Solution_for_Seawater_Medium	MIM:Enrichment_Solution_For_Seawater_Medium	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Ferric_malate_solution	MIM:Ferric_Malate_Solution	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:G9_Trace_Metals_for_J_medium	MIM:G9_Trace_Metals_For_J_Medium	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Glycine-NaOH_buffer	MIM:Glycine-NaOH_Buffer	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Hans_1000x_minerals	MIM:Hans_1000x_Minerals	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:Hans_100x_vitamins	MIM:Hans_100x_Vitamins	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:K-phosphate_buffer	MIM:K-phosphate_Buffer	2026-08-21	subject_case: published spelling predates a filename case change git did not record
MIM:L-Cysteine_x_HCl_x_H2O_solution	MIM:L-Cysteine_X_HCl_X_H2O_Solution	2026-08-21	subject_case: published spelling predates a filename case change git did not record
