subject_id	token	owned_by	disposition
MIM:2-Deoxyadenosine_Monohydrate	2-deoxyadenosine	MIM:2-deoxyadenosine	HYDRATE_FAMILY_UNREVIEWED
MIM:2-Keto-D-gluconic_Acid_Hemicalcium_Salt_Hydrate	2-Keto-D-gluconic acid hemicalcium salt monohydrate	MIM:2-Keto-D-gluconic_Acid_Hemicalcium_Salt_Monohydrate	HYDRATE_FAMILY_UNREVIEWED
MIM:24-diamino-67-di-iso-propylpteridine_phosphate	Vibriostat	MIM:Vibriostat	UNREVIEWED
MIM:4-Methyl-2-oxopentanoic_Acid_Sodium_Salt	4-Methyl-2-oxovaleric acid	MIM:4-Methyl-2-oxovaleric_Acid	UNREVIEWED
MIM:84_GL_NaHCO3_Solution	NaHCO3	MIM:Nahco3	UNREVIEWED
MIM:A-Ketoglutaric_Acid_Disodium_Salt_Hydrate	alpha-ketoglutaric acid	MIM:Alpha-ketoglutaric_Acid	HYDRATE_FAMILY_UNREVIEWED
MIM:Adenine	Adenine hydrochloride hydrate	MIM:Adenine_Hydrochloride_Hydrate	HYDRATE_FAMILY_UNREVIEWED
MIM:Beta-lactose	lactose	MIM:Lactose	UNREVIEWED
MIM:Betaine_Hydrochloride	Betaine x H2O	MIM:Betaine_X_H2o	HYDRATE_FAMILY_UNREVIEWED
MIM:Carnitine_Dl_Hydrochloride	DL-carnitine	MIM:Dl-carnitine	UNREVIEWED
MIM:Carnitine_Hydrochloride	DL-carnitine	MIM:Dl-carnitine	UNREVIEWED
MIM:Cecl3	CeCl3 x 7 H2O	MIM:Cecl3_X_7_H2o	HYDRATE_FAMILY_UNREVIEWED
MIM:Ceftazidime	Ceftazidime hydrate	MIM:Ceftazidime_Hydrate	HYDRATE_FAMILY_UNREVIEWED
MIM:Cocl2	CoCl2 x 4 H2O	MIM:Cocl2_X_4_H2o	HYDRATE_FAMILY_UNREVIEWED
MIM:D-Maltose_Monohydrate	Maltose Hydrate	MIM:Maltose_Hydrate	HYDRATE_FAMILY_UNREVIEWED
MIM:D-Mannose_6-phosphate_Sodium_Salt	Mannose-6-Phosphate	MIM:Mannose-6-Phosphate	UNREVIEWED
MIM:D-mannitol	Mannitol	MIM:Mannitol	UNREVIEWED
MIM:Disodium_Phosphate_Heptahydrate_002_M_Stock	Na2HPO4 x 7 H2O	MIM:Na2hpo4_X_7_H2o	HYDRATE_FAMILY_UNREVIEWED
MIM:EDTA_Tetrasodium_Tetrahydrate_Salt	EDTA	MIM:Edta	HYDRATE_FAMILY_UNREVIEWED
MIM:K2hpo4	K2HPO4 x 3 H2O	MIM:K2hpo4_X_3_H2o	HYDRATE_FAMILY_UNREVIEWED
