slug	status_dir	identifier	preferred_term	malformed	locants_found	locants_needed	ontology_id	ontology_label	mapping_quality	label_has_full_locants
2-dichloroethane	mapped	CHEBI:27789	2-dichloroethane	2-dichloroethane	1	2	CHEBI:27789	1,2-dichloroethane	EXACT_MATCH	yes
3-trichloropropane	mapped	CHEBI:34036	3-trichloropropane	3-trichloropropane	1	3	CHEBI:34036	1,2,3-Trichloropropane	EXACT_MATCH	yes
2-6-dihydroxybenzoic_Acid	mapped	cas:0303-07-1	2-6-dihydroxybenzoic acid	6-dihydroxybenzoic	1	2	cas:0303-07-1	2-6-dihydroxybenzoic acid	FALLBACK_REGISTRY	no
2-dimethylsuccinic_Acid	mapped	CHEBI:167506	2-dimethylsuccinic Acid	2-dimethylsuccinic	1	2	CHEBI:167506	2,3-dimethylsuccinic acid	CLOSE_MATCH	yes
2-tetrachloroethane	unmapped	UNMAPPED_0785	2-tetrachloroethane	2-tetrachloroethane	1	4				yes
4-Diamino-6	unmapped	UNMAPPED_0620	4-Diamino-6	4-Diamino	1	2				yes
4-dihydroxy-biphenyl	mapped	CHEBI:34367	4-dihydroxy-biphenyl	4-dihydroxy	1	2	CHEBI:34367	biphenyl-4,4'-diol	CLOSE_MATCH	yes
4-diol	unmapped	UNMAPPED_0791	4-diol	4-diol	1	2				yes
5-didehydro-D-gluconic_Acid	mapped	CHEBI:17426	5-didehydro-D-gluconic Acid	5-didehydro	1	2	CHEBI:17426	5-dehydro-D-gluconic acid	SYNONYM_MATCH	yes
5-trimethoxybenzoate	mapped	CHEBI:58989	5-trimethoxybenzoate	5-trimethoxybenzoate	1	3	CHEBI:58989	3,4,5-trimethoxybenzoate	CLOSE_MATCH	yes
