identifier	file	preferred_term	category	query	match_type	ontology_id	ontology	ontology_label	matched_term	standard_label_needed	missing_exact_synonyms	confidence	recommended_action
UNMAPPED_0588	data/ingredients/unmapped/(E)-4-Aminostyryl_Acetate.yaml	(E)-4-Aminostyryl acetate	UNKNOWN	(E)-4-Aminostyryl acetate|(E)-4-Aminostyryl Acetate|-4-Aminostyryl acetate	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0316	data/ingredients/unmapped/1-Naphtylacetic_Acid.yaml	1-Naphtylacetic Acid	UNKNOWN	1-Naphtylacetic Acid	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0196	data/ingredients/unmapped/2-Carene-3-One.yaml	2-Carene-3-One	UNKNOWN	2-Carene-3-One	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0317	data/ingredients/unmapped/2-chloro-4ethylamino-6-isopropylamino-135-triazine.yaml	2-chloro-4ethylamino-6-isopropylamino-1,3,5-triazine	UNKNOWN	2-chloro-4ethylamino-6-isopropylamino-1,3,5-triazine|2-chloro-4ethylamino-6-isopropylamino-135-triazine	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0182	data/ingredients/unmapped/2-methyladeninyl_Cobamide.yaml	2-methyladeninyl cobamide	UNKNOWN	2-methyladeninyl cobamide|2-methyladeninyl Cobamide	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0261	data/ingredients/unmapped/20AA_mix.yaml	20AA_mix	SIMPLE_CHEMICAL	20AA_mix|20AA mix	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0190	data/ingredients/unmapped/22-Bisepigallocatechin_Digallate.yaml	2',2'-Bisepigallocatechin Digallate	UNKNOWN	2',2'-Bisepigallocatechin Digallate|22-Bisepigallocatechin Digallate	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0195	data/ingredients/unmapped/3Beta-Hydroxydeoxodihydrodeoxygedunin.yaml	3Beta-Hydroxydeoxodihydrodeoxygedunin	UNKNOWN	3Beta-Hydroxydeoxodihydrodeoxygedunin	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0319	data/ingredients/unmapped/4-2-hydroxyethyl-1-piperazineethanesulfonic_Acid.yaml	4-2-hydroxyethyl-1-piperazineethanesulfonic acid	UNKNOWN	4-2-hydroxyethyl-1-piperazineethanesulfonic acid|4-2-hydroxyethyl-1-piperazineethanesulfonic Acid	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0194	data/ingredients/unmapped/44-Dimethoxydalbergione.yaml	4,4'-Dimethoxydalbergione	UNKNOWN	4,4'-Dimethoxydalbergione|44-Dimethoxydalbergione	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
