source_record	record_sha256	identifier	preferred_term	mapping_status	disposition	basis
data/ingredients/mapped/(-)-anisomycin.yaml	1d17b747ec926d550c6ea98666bcb3cf10a1e575dcfc837f9d94396d561b904a	CHEBI:338412	(-)-anisomycin	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/(-)-quinic_Acid.yaml	9c9368ef44de08cbd59138916d2a120db321b5bddd69b8610a66f140d0d3898a	CHEBI:17521	(-)-quinic Acid	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/(2)-D-lyxose.yaml	62258c9bdabaf8728fafb6923345fe4b24b9956069113896acb16e9631c1451e	CHEBI:62318	D-lyxose	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/(R)-amygdalin.yaml	9f6e3cb70cbde2c2f3d0352b23bde746980d76be60857207d9447016a3d9f574	CHEBI:17019	(R)-amygdalin	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/(R)-lactate.yaml	5ecdb54c8474811127e8bb01b8d7753004065329b1574864c8140d635c6ae93d	CHEBI:16004	(R)-lactate	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/(R)-malic_Acid.yaml	0a7229be6c0bd446df2b2130a644881be47e2a021194b732e1855e5703270f89	CHEBI:30796	(R)-malic Acid	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/(S)-azetidine-2-carboxylic_Acid.yaml	8e26520c847b822c596a5cc3bf6206fac862adf5a1e2b4b2ed3d6d80ebdab792	CHEBI:6198	(S)-azetidine-2-carboxylic Acid	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/(S)-mandelic_Acid.yaml	23414e994a265c4df0b025da1907547eebd137cbd4102e0b9e99035ffb2c70af	CHEBI:32800	(S)-mandelic Acid	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/02_Thiamine_Pyrophosphate.yaml	7eece9fb547e213646a2313b9f9bb8f5988f0d13e08d53b2255a33b43f8a659f	kgmicrobe.ingredient:0_2_thiamine_pyrophosphate	0.2% Thiamine pyrophosphate	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/05_M_Nitrilotriacetic_Acid_Disodium_Salt.yaml	91eae6a773cf1630a143147a314e29f37f430a33f885e0340d08978cb58ea74f	kgmicrobe.ingredient:05_m_nitrilotriacetic_acid_disodium_salt	0.5 M Nitrilotriacetic acid, disodium salt	MAPPED	identity_reviewed_other_findings_not_cleared	identity-plan.json
data/ingredients/mapped/1-Kestose.yaml	c3cd932ad6e3dd6b446c499cb8c69bca008dd05bf21dc30acc80368fe1b318e8	CHEBI:16885	1-Kestose	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/1-Pentanol.yaml	d47463e81ebb231c75529caffced6330cdfb1bea8ebc2b517aaaecd12a4e6d19	CHEBI:44884	1-Pentanol	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/1-aminocyclopropane-1-carboxylate.yaml	1e651391a3c74fff1a3bde0312bfd657542ab61b4c83407f4c1450115037234c	CHEBI:18053	1-aminocyclopropane-1-carboxylate	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/1-butanolCO2.yaml	50e87c5ea60a056062c81c01bf5e8ea28a1dc8c8f8e3f20acb27a18ef7f5213d	kgmicrobe.ingredient:1_butanol_co2	1-butanol+CO2	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/1-chlorobutane.yaml	29a80bb0d90697f0c3e5336170cdf978ab47781d224c8f83a69835413a15d2ac	CHEBI:747005	1-chlorobutane	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/1-chloropropane.yaml	b0aab9c318f086881a1fd386823724c1a0e88b6b1573b695d3e311c0f17be71f	CHEBI:747004	1-chloropropane	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/1-ethyl-3-methylimidazolium_Acetate.yaml	0406799826473dee458b6358022420cc7555ba9ee3fbbd2e0b7689cde32fa6d5	cas:143314-17-4	1-ethyl-3-methylimidazolium acetate	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/1-ethyl-3-methylimidazolium_Chloride.yaml	5b7a8d4808e005f65dda0e933c887e9780d85236ddf4882bb9479f86fe7a41d0	CHEBI:61327	1-ethyl-3-methylimidazolium chloride	MAPPED	pass	../records.tsv (byte-identical source)
data/ingredients/mapped/1-ethyl-3-methylimidazolium_Lysine.yaml	ceb4b7626883ddf513cb4ff1c5259dd6361ca7c540fd10e44bea29b7817f83c8	kgmicrobe.compound:1-ethyl-3-methylimidazolium_lysine	1-ethyl-3-methylimidazolium lysine	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/1-methylphenanthrene.yaml	8cc4a3001604adfe0a69ddf0c97834feb9c579731ac23c8aa5a3d2d27bfddd04	CHEBI:35860	1-methylphenanthrene	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/1-naphtylacetic_Acid.yaml	d363ddaae1c24c09e13c37da08078439c8e54a83076624364ff224dee04a649c	CHEBI:32918	1-Naphthylacetic acid	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/1-o-methyl_Alpha-galactopyranoside.yaml	87b7570e196ec20d4f71621c4036e9d1eb555c4ed931f791a11f102f965bca0f	CHEBI:55507	1-o-methyl Alpha-galactopyranoside	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/1-octen-3-ol.yaml	0b48ef0d1a3762aaff60b09ab6b7719bef6279fe0fd60e87688189daad4395ff	CHEBI:34118	1-octen-3-ol	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/1-phenazinecarboxamide.yaml	c76c47f904ae1eeb42385b3543fdbd4eb0bb44dbb3b6a0ec2800645fea481503	CHEBI:62240	1-phenazinecarboxamide	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/1-propanolCO2.yaml	7d53441edc57a1c03be337a90e4dfe587a0577b2d89e3cba2c071ee29878110e	kgmicrobe.ingredient:1_propanol_co2	1-propanol+CO2	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/11-Biphenyl-2-ol.yaml	dc60491a8903099e05468b1f6eb280cbad17fdb150d1eccde0eb298c5c32e0d3	CHEBI:17043	[1,1′-Biphenyl]-2-ol	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/112-trichloroethane.yaml	e0ca9c75cc61a05b278e044d4e243ebc1854e3d686895a23510798f9049d00db	CHEBI:36018	1,1,2-Trichloroethane	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/12-Propanediol.yaml	14d023d7d18ed23abf31b8fa97c288b30cd4957f35e1d5e63290d27d01e0e3d7	CHEBI:16997	1,2-Propanediol	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/12-dichloropropane.yaml	daa1826b7708c2094d5b454b451ac75463fedc9f716e26f8a3b90af5fbcc66b9	CHEBI:82163	1,2-Dichloropropane	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/13-Butandiol.yaml	67d1757c57f47c9161ff6763b14858ab926b818a8796f8469165ce4e06475f65	CHEBI:52683	1,3-Butanediol	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/13-Hexanediol.yaml	b23558fbfa9c1733db50368c0639c58a91fee40726056f0b8477215e99e4f701	cas:21531-91-9	1,3-Hexanediol	MAPPED	pass	../records.tsv (byte-identical source)
data/ingredients/mapped/13-Propanediol.yaml	7d5491352aa59488558c2f2f520d94999d70cdc92bf2f7e50fd2e99ca446a4d7	CHEBI:16109	1,3-Propanediol	MAPPED	pass	../records.tsv (byte-identical source)
data/ingredients/mapped/14-B-D-Galactobiose.yaml	346c00c2a113dc722024aef411d261d3a1a09182303a49695e749f53fb575c22	cas:2152-98-9	1,4-B-D-Galactobiose	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/14-Butanediol.yaml	74b5887ec491eeb6c5f0105dbf97fd961658618af248d954b372ca8e50ad1696	CHEBI:41189	1,4-Butanediol	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/14-naphthoquinone.yaml	74519ba0c232e6754ae9308228823ae8a6ff51525c9d1d15cb70b415eb40206b	CHEBI:27418	1,4-Naphthoquinone	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/15-Pentanediol.yaml	fc54d1228fc469376af11849f4f24d517b1405881c0390dded5bb980cdca2af2	CHEBI:185431	1,5-Pentanediol	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/16-Hexanediamine.yaml	526ca6991c57ea6bbfa7ca1b84eea0ca5bb51950e542240714ff1df782453034	cas:124-09-4	1,6-Hexanediamine	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/18-Crown-6.yaml	c0d9f2830b5226ce4cd6b6ae37800de334d8ca7b9688538e5661814aeed8f5ca	CHEBI:32397	18-Crown-6	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/2-6-dihydroxybenzoic_Acid.yaml	bf6ad13872c6cc7344c6375052bfbdea93411ae008633acf26cac93be6694bf8	cas:303-07-1	2,6-dihydroxybenzoic acid	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/2-Acetylpyrrole.yaml	68c999e6bca5da4ae9d2296e44cfe958547534debfd03e8bebf9bc21b1c86438	CHEBI:59981	2-Acetylpyrrole	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/2-Aminoethylphosphonate.yaml	25dc9a50e431b1178f31a0641a1caa4ceebc8603a0368886cac2d68c5f5f70a6	CHEBI:15573	2-Aminoethylphosphonate	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/2-Azetidinone.yaml	f7e28c779eaf03d6687ab9df8bd6b3bb35406d8a6ad79553b2796f7700af32d8	CHEBI:327119	2-Azetidinone	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/2-Chlorobenzoic_acid.yaml	d02d654d0908c1d849a51a828beb7db09e25ca1e15f8feb906e400ce189cc0ad	CHEBI:30793	2-Chlorobenzoic acid	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/2-Deoxy-D-Ribose.yaml	b6128f7ddd369ed67041c0958845fecee40c48cc5c5612a956a84141888509a3	CHEBI:28816	2-Deoxy-D-Ribose	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/2-Deoxy-D-glucose.yaml	ff57b56e0dc51c2bb5c03d6830082e628f1358c09d5bd2c775b9c9c0ce92625a	CHEBI:15866	2-Deoxy-D-glucose	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/2-Deoxy-D-ribonic_Acid_Lithium_Salt.yaml	57e0bbff066972a22942aef00314bb0b1376d48b7ca1805a6d7d0388a70fe781	cas:7284-15-3	2-Deoxy-D-ribonic acid lithium salt	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/2-Deoxyadenosine_5-monophosphate.yaml	5bd46a0771456e074fe710a3666aed24c193c87c461aea1c645be5829a0978b5	CHEBI:17713	2-Deoxyadenosine 5-monophosphate	MAPPED	pass	../records.tsv (byte-identical source)
data/ingredients/mapped/2-Deoxyadenosine_Monohydrate.yaml	234edb342d3ca2141a1d979722b23e9f4541903cd40df75d1871a864cb515edb	cas:16373-93-6	2-Deoxyadenosine monohydrate	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/2-Deoxycytidine.yaml	b76baf004597a71122be043d6d2e264d377b35fc4c020c0acaf60263ef2175c7	CHEBI:15698	2'-Deoxycytidine	MAPPED	pass	../records.tsv (byte-identical source)
data/ingredients/mapped/2-Deoxycytidine_5-monophosphate.yaml	eedde4a39bad25dca750aa0703925e2e97c3c715e7b23e74beab9c948a43dbba	CHEBI:15918	2-Deoxycytidine 5-monophosphate	MAPPED	pass	../records.tsv (byte-identical source)
data/ingredients/mapped/2-Ethylhexanol.yaml	dfc43af9d1ebd1dc643f7b9fe4ebf25d3e5c276db3f412097e9525144f5be9bf	CHEBI:16011	2-Ethylhexanol	MAPPED	pass	../records.tsv (byte-identical source)
