assertion_id	source_record	source_record_sha256	assertion_type	source_position	assertion_sha256	resolution_status	review_reason	review_evidence
MIM.review:88e61beaaf112288a502b24fe8cf8554fe155a1fd9effef48d3259c09bc07a05	data/ingredients/mapped/02_Thiamine_Pyrophosphate.yaml	7eece9fb547e213646a2313b9f9bb8f5988f0d13e08d53b2255a33b43f8a659f	nutritional_roles	1	add0f9f4b6e925f45846c8f1bc0d7e1c21ad1e2892d8a1447cdb319ba6f95a3c	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:07c32fd9cd851dab490acc31099fb65957b1653a0647ecebe4a6ba08def29eb1	data/ingredients/mapped/05_M_Nitrilotriacetic_Acid_Disodium_Salt.yaml	91eae6a773cf1630a143147a314e29f37f430a33f885e0340d08978cb58ea74f	component	1	b5a432ff0681ee4eee17709bbeda47e47a28fede5754cfecf6ffe57f22e229b8	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:643479104684f7f4a92740c04c983b6cb6eba5be505426d9bb0639465c9ef134	data/ingredients/mapped/05_M_Nitrilotriacetic_Acid_Disodium_Salt.yaml	91eae6a773cf1630a143147a314e29f37f430a33f885e0340d08978cb58ea74f	physicochemical_roles	1	644a7ed588f9cbee2dd0556b65c6b394dc75871adb06870ea1a1fc39d6dd3156	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:fcd0728250f34ed0755191c5481d72e4d82dd5daec8acee21fea9d95d74dea50	data/ingredients/mapped/1-Kestose.yaml	c3cd932ad6e3dd6b446c499cb8c69bca008dd05bf21dc30acc80368fe1b318e8	nutritional_roles	1	4ea628be52149f9b81f39b2e78a409a172515bc4ad5c8e5c6fb4eba7014f1b6e	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:5b4b95ed13dd9946155b936e665c3f5656b42a5b46700e06cf52e33e87b64fad	data/ingredients/mapped/1-aminocyclopropane-1-carboxylate.yaml	1e651391a3c74fff1a3bde0312bfd657542ab61b4c83407f4c1450115037234c	nutritional_roles	1	7d31b5bc3b31af72e9763c0dced0805a7e6435f4c0a8f0027fd68740f6d7fe14	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:13044dc9bff551d1758c9156716ad4ee9eee2c9ebb728d60f0269df0b645a474	data/ingredients/mapped/1-butanolCO2.yaml	50e87c5ea60a056062c81c01bf5e8ea28a1dc8c8f8e3f20acb27a18ef7f5213d	component	1	b2c889f6642b9d6c6d9e347169986fd5eaa4f094cb75d7d9d845634e1429b1c8	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:225cff0f615e26d25d07a803b30b71587a81a4efb6406e70504b7a77e086a6ec	data/ingredients/mapped/1-butanolCO2.yaml	50e87c5ea60a056062c81c01bf5e8ea28a1dc8c8f8e3f20acb27a18ef7f5213d	component	2	67291ac5459a097ee194b61f8dcba1d50f1063c048628fbab6112dd23f7bca4d	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:b2610e65fa185e4ef8804712c9476f71e8e03d78b73ae8706b131f6a93b6fbd1	data/ingredients/mapped/1-propanolCO2.yaml	7d53441edc57a1c03be337a90e4dfe587a0577b2d89e3cba2c071ee29878110e	component	1	26ca02e0b9d15bd28863ce3f23c61b78974ea545ec99c6060831bcd3f9c715be	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:1f3062efbe077ea2e079c111d51f139352d8772aa64b56749384804f44abcf0c	data/ingredients/mapped/1-propanolCO2.yaml	7d53441edc57a1c03be337a90e4dfe587a0577b2d89e3cba2c071ee29878110e	component	2	5abc37929dd20bc53f6376d05191af6a8d21b2534e6aaf4ab01637d1edc3fbda	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:08a4a4783f95548ccfaf03a2817f1b9004458c2f76be3c7e7e18cc04d345ed7f	data/ingredients/mapped/14-B-D-Galactobiose.yaml	346c00c2a113dc722024aef411d261d3a1a09182303a49695e749f53fb575c22	nutritional_roles	1	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:8a2e0b7b291ff2d3774b3bf603975f92688e60ba42baa310d028c4777b89ac1e	data/ingredients/mapped/2-Deoxy-D-Ribose.yaml	b6128f7ddd369ed67041c0958845fecee40c48cc5c5612a956a84141888509a3	nutritional_roles	1	4ea628be52149f9b81f39b2e78a409a172515bc4ad5c8e5c6fb4eba7014f1b6e	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:d8929b47de92ab721ea9cce16172251273f60548374fa7b4324b309998629197	data/ingredients/mapped/2-Deoxy-D-glucose.yaml	ff57b56e0dc51c2bb5c03d6830082e628f1358c09d5bd2c775b9c9c0ce92625a	nutritional_roles	1	4ea628be52149f9b81f39b2e78a409a172515bc4ad5c8e5c6fb4eba7014f1b6e	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:5527c42df956f1798943528f16caeaa4457cd6476edc577cbf9d09258f5ca0d8	data/ingredients/mapped/2-Hydroxybutyric_Acid_Sodium_Salt.yaml	8a2c69adcb8c2dff48034d0fdb7c5b271f64da8c03fa4bee355cd70ad9957173	nutritional_roles	1	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:53b2a37a4a774dda14346aec8a1464264cfe395069faa557b6fb7fe77976ec05	data/ingredients/mapped/2-Keto-D-gluconic_Acid_Hemicalcium_Salt_Hydrate.yaml	5d30ccd4eb4f4148e5f06b6753c37739ebf7d5f678a679b9c5220b5c62bb40e1	nutritional_roles	1	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
MIM.review:d1851810c6173fd38978b4f50f8b4c3d21dd11762a7bda27b18dba6a9312e4c1	data/ingredients/mapped/2-Keto-D-gluconic_Acid_Hemicalcium_Salt_Hydrate.yaml	5d30ccd4eb4f4148e5f06b6753c37739ebf7d5f678a679b9c5220b5c62bb40e1	nutritional_roles	2	05797c833ce5f55a4f9deb8713e7b56bc9b4c8e4920aeed310903d0418be101f	OPEN	No current positive scientific disposition; unresolved evidence or record findings remain.	
