finding_id	kind	source_record	current_record	current_record_sha256	original_assertion	original_object	disposition	reason	source_context_rows	source_dois	change_plan
SEM:ef0bc292f7a73801214e	component_source_scope	data/ingredients/mapped/PY-glucose-rumen_Fluid.yaml	data/ingredients/mapped/PY-glucose-rumen_Fluid.yaml	0d9423c4dde8bee8140bab7b0cc6b27bcfa2e2a1c7c617ff454df19fbc17f777	MIM.assertion:03d658cb027ec3d8891706f4e6043d0c311fd903b8e2a6eee1c05b2e23618de1	CHEBI:17234	OPEN_SOURCE_VERIFICATION	Raw source is Treponema socranskii. The retained clarified-rumen-fluid identifier is more specific than the source label; the original preparation/clarification method and PY base still require verification.	20395	https://doi.org/10.1002/9781118960608.gbm01249	
SEM:d4aee62995713389feb5	component_source_scope	data/ingredients/mapped/TYGVS_Glucose.yaml	data/ingredients/mapped/TYGVS_Glucose.yaml	0914aecb007a71a9f4e010c08b24d55c1b02b1b522c32a8c5384bc56d5959c6e	MIM.assertion:0494118e94b8a2124f13652d7fc88be3fedf179f537d7066a9e23355a18d73c0	MICRO:0000175	OPEN_SOURCE_VERIFICATION	Raw source is Treponema medium. Later primary oral TYGVS protocols disagree in named peptone (Trypticase versus Tryptone); neither a different-species recipe nor a shared acronym establishes the original preparation. Adversarial review rejected a tentative promotion; all four original claims remain provisional pending the actual citation chain.	20378	https://doi.org/10.1002/9781118960608.gbm01249	applied-changes.json
SEM:edafdd3e7e62162992cd	component_source_scope	data/ingredients/mapped/PYG_Rumen_Fluid.yaml	data/ingredients/mapped/PYG_Rumen_Fluid.yaml	833d1bf421b60fb474361c29a35f88d5702c790d5385221d6fa6757199801c01	MIM.assertion:0a7afbe75791ceb4c426bc9e0f5b45ee7c2392c674a261ce3571668e3ed94371	CHEBI:17234	OPEN_SOURCE_VERIFICATION	Raw source is Eubacterium ruminantium. An unrelated 1993 experimental paper supports rumen-fluid-supplemented PYG for this species, but neither clarification nor the original source-specific recipe has been verified.	5906	https://doi.org/10.1002/9781118960608.gbm00629	
SEM:f95f7e998985eb28aef9	component_source_scope	data/ingredients/mapped/PY-maltose.yaml	data/ingredients/mapped/PY-maltose.yaml	2541f490f2d97f40eb21139dfd94373a90d419f91aaeabd111e8af711d7f44f0	MIM.assertion:0aeff7b59b5a09ae72f4f25d1d26b8cb68210d1fd73c2ffadc4a01f3fc85aac9	FOODON:03315426	OPEN_SOURCE_VERIFICATION	Raw source is Clostridium leptum. The prior report explicitly required upstream context before accepting an example formulation; original source recipe remains uninspected.	4130	https://doi.org/10.1002/9781118960608.gbm00619	
SEM:64f76c455631e72adfc2	component_source_scope	data/ingredients/mapped/PYEG.yaml	data/ingredients/mapped/PYEG.yaml	59aa22d3f741cba3f712bb3294adc7abc1f1e6933dad74b9d79001299c88dd0a	MIM.assertion:0b62d870ea596b6fdf8422d9dc3369e5a9e493e96251f2c419964aabc6b78c94	MICRO:0000178	OPEN_SOURCE_VERIFICATION	Raw source is Clostridium scindens. The prior literature report centers on Caulobacter and unrelated PYEG uses. Current culture-collection growth recipes cannot establish the original substrate preparation.	4180	https://doi.org/10.1002/9781118960608.gbm00619	
SEM:4427baace6f735481bbf	component_source_scope	data/ingredients/mapped/PY-pectin.yaml	data/ingredients/mapped/PY-pectin.yaml	fe00f8b6439c9d1c86c68ce20efdf672115465cd58b2455edf4ddf30c1e4a6e6	MIM.assertion:174a8f5f9a5fbdd6930aa555a3f3d9af42912d0de9a3c28406c1d8c7d6b8e8f5	FOODON:03315426	OPEN_SOURCE_VERIFICATION	Raw source is Treponema pectinovorum. ATCC1223 supports a pectin-containing recipe for that species but does not demonstrate that its branded polypeptone formula equals the original PY-pectin source; keep original-source review open.	20383	https://doi.org/10.1002/9781118960608.gbm01249	
SEM:02fd5c5ea689148396f7	component_source_scope	data/ingredients/mapped/PY-fructose.yaml	data/ingredients/mapped/PY-fructose.yaml	44809853b4659af251e0de30e48eb959d678de126e40dacebddc68bd0561d5e6	MIM.assertion:1a0538d0ec46fc78e1b447dabf1d119bc305511eb184e076fd561712341dbf05	MICRO:0000178	OPEN_SOURCE_VERIFICATION	Raw source is Clostridium formicaceticum. The prior report primarily relied on Pectinatus portalensis PYF; this different-organism recipe does not establish the original PY-fructose preparation.	4104	https://doi.org/10.1002/9781118960608.gbm00619	
SEM:1e048edc602977bf2936	component_source_scope	data/ingredients/mapped/PYGS.yaml	data/ingredients/mapped/PYGS.yaml	b5d43cabed7ee976f44bb5bbc6a3f0ecc127c9bb6097c36c9b5e7ba433aa6f52	MIM.assertion:1ad8beb3f45e7a2a4358563a0921bba3c1970044333598ca52461c55e399d817	CHEBI:17234	OPEN_SOURCE_VERIFICATION	Raw source is Clostridium frigidicarnis. Adam et al. 2011 (doi:10.1111/j.1472-765X.2011.03071.x) corroborates starch-containing PYGS for this species, but the originating Bergey/1999 recipe chain was not inspected; no automatic promotion from a later same-species recipe.	4105|4110|8884	https://doi.org/10.1002/9781118960608.gbm00619	
SEM:1c002b94f688721ee57c	component_source_scope	data/ingredients/mapped/TYGVS_Glucose.yaml	data/ingredients/mapped/TYGVS_Glucose.yaml	0914aecb007a71a9f4e010c08b24d55c1b02b1b522c32a8c5384bc56d5959c6e	MIM.assertion:1e8df80a09dfe19cb4d37ff3987d9312287cb461e04c563053ad89e52bc56a5f	FOODON:03315426	OPEN_SOURCE_VERIFICATION	Raw source is Treponema medium. Later primary oral TYGVS protocols disagree in named peptone (Trypticase versus Tryptone); neither a different-species recipe nor a shared acronym establishes the original preparation. Adversarial review rejected a tentative promotion; all four original claims remain provisional pending the actual citation chain.	20378	https://doi.org/10.1002/9781118960608.gbm01249	applied-changes.json
SEM:9b00dba6999733399b0f	component_source_scope	data/ingredients/mapped/PYG-002_Tween_80.yaml	data/ingredients/mapped/PYG-002_Tween_80.yaml	39aa2fd4d32cd75ab37ad154727c197daa5303d9d40fb21771c7bad63e6e489f	MIM.assertion:2442a24f30b32bffaf535a3ecd26f1df0c0422c4ecbd77220f813dcbc726ef57	CHEBI:53426	OPEN_SOURCE_VERIFICATION	Raw source is Holdemanella biformis. Source label supplies Tween concentration but does not independently identify the PY base formulation or prove all inferred component identities.	8051	https://doi.org/10.1002/9781118960608.gbm00629	
SEM:a678a1a16dc0e665c32e	component_source_scope	data/ingredients/mapped/GYPS.yaml	data/ingredients/mapped/GYPS.yaml	36840ca128760eb0ac542753d24d155fd1ebb6ccd8229be130953a0d01f2cf6e	MIM.assertion:24e38b6af4145b38d3ada742791a477645de199de3e4c650d2b807a55a2d7d79	MICRO:0000178	SOURCE_VERIFIED	Exact raw source context is Caminicella sporogenes. Alain et al. 2002 p1622 (doi:10.1099/00207713-52-5-1621) defines glucose/yeast extract/peptone/sulfur medium; starch was incorrect. Four current parts are a partial recipe transcription, not a universal GYPS composition.	3351	https://doi.org/10.1002/9781118960608.gbm00618	applied-changes.json
SEM:eb5b855741a3ae3bfba7	component_source_scope	data/ingredients/mapped/PYGS.yaml	data/ingredients/mapped/PYGS.yaml	b5d43cabed7ee976f44bb5bbc6a3f0ecc127c9bb6097c36c9b5e7ba433aa6f52	MIM.assertion:252d4f73506272766c798ae7a00d90b218c91d1c0aecf90411b8bd777a30e62d	FOODON:03315426	OPEN_SOURCE_VERIFICATION	Raw source is Clostridium frigidicarnis. Adam et al. 2011 (doi:10.1111/j.1472-765X.2011.03071.x) corroborates starch-containing PYGS for this species, but the originating Bergey/1999 recipe chain was not inspected; no automatic promotion from a later same-species recipe.	4105|4110|8884	https://doi.org/10.1002/9781118960608.gbm00619	
SEM:936d5169b571bf3c8956	component_source_scope	data/ingredients/mapped/PY-maltose.yaml	data/ingredients/mapped/PY-maltose.yaml	2541f490f2d97f40eb21139dfd94373a90d419f91aaeabd111e8af711d7f44f0	MIM.assertion:2c7ce10611a4a532eef68ea45c5ef114a2eff5eaf472d1dfb6a51a79b3250226	MICRO:0000178	OPEN_SOURCE_VERIFICATION	Raw source is Clostridium leptum. The prior report explicitly required upstream context before accepting an example formulation; original source recipe remains uninspected.	4130	https://doi.org/10.1002/9781118960608.gbm00619	
SEM:7ad88e71c702b5583572	component_source_scope	data/ingredients/mapped/PYG-002_Tween_80.yaml	data/ingredients/mapped/PYG-002_Tween_80.yaml	39aa2fd4d32cd75ab37ad154727c197daa5303d9d40fb21771c7bad63e6e489f	MIM.assertion:3f8bc2fd4f35b765a1575dd6709830f6597c13966b792102168a289ecda3a833	CHEBI:17234	OPEN_SOURCE_VERIFICATION	Raw source is Holdemanella biformis. Source label supplies Tween concentration but does not independently identify the PY base formulation or prove all inferred component identities.	8051	https://doi.org/10.1002/9781118960608.gbm00629	
SEM:1b35b988f194187fab25	component_source_scope	data/ingredients/mapped/PY-fructose.yaml	data/ingredients/mapped/PY-fructose.yaml	44809853b4659af251e0de30e48eb959d678de126e40dacebddc68bd0561d5e6	MIM.assertion:4904fd1c289543df8c40de36a3e7215f203f0a1d336da6d2cd38ad2a3fb93b68	FOODON:03315426	OPEN_SOURCE_VERIFICATION	Raw source is Clostridium formicaceticum. The prior report primarily relied on Pectinatus portalensis PYF; this different-organism recipe does not establish the original PY-fructose preparation.	4104	https://doi.org/10.1002/9781118960608.gbm00619	
SEM:2bdb2591fbe0efba3ad9	component_source_scope	data/ingredients/mapped/GYPS.yaml	data/ingredients/mapped/GYPS.yaml	36840ca128760eb0ac542753d24d155fd1ebb6ccd8229be130953a0d01f2cf6e	MIM.assertion:4ed10b90db1e3da88cb3b06aa4a1c4a0c85354abe78f2dd0a982f3a661855af2	CHEBI:17234	SOURCE_VERIFIED	Exact raw source context is Caminicella sporogenes. Alain et al. 2002 p1622 (doi:10.1099/00207713-52-5-1621) defines glucose/yeast extract/peptone/sulfur medium; starch was incorrect. Four current parts are a partial recipe transcription, not a universal GYPS composition.	3351	https://doi.org/10.1002/9781118960608.gbm00618	applied-changes.json
SEM:822e6f9214192679b159	component_source_scope	data/ingredients/mapped/PYG_Rumen_Fluid.yaml	data/ingredients/mapped/PYG_Rumen_Fluid.yaml	833d1bf421b60fb474361c29a35f88d5702c790d5385221d6fa6757199801c01	MIM.assertion:50571b3571770ebbc7cfadadfacf5052f9499b73f1d3ade276066fbf23d65c2c	FOODON:03315426	OPEN_SOURCE_VERIFICATION	Raw source is Eubacterium ruminantium. An unrelated 1993 experimental paper supports rumen-fluid-supplemented PYG for this species, but neither clarification nor the original source-specific recipe has been verified.	5906	https://doi.org/10.1002/9781118960608.gbm00629	
SEM:4342978a6d6a785d5a94	component_source_scope	data/ingredients/mapped/CMC_PY_Horse_Serum.yaml	data/ingredients/unmapped/CMC_PY_Horse_Serum.yaml	39e3ff65e31ecd99696afd0b2d3429fba96751361b019a92933e136372b74077	MIM.assertion:559e7d826353cadc0820d0778024cae6b9ad3b9b4d87970cc947af70ba5496ea	MICRO:0000178	WITHDRAWN_FALSE_MIXTURE	Love et al. 1979 (doi:10.1099/00207713-29-3-241) describes separate cooked meat-carbohydrate and peptone-yeast cultures with horse serum. The source expression was incorrectly flattened into one mixture, and CMC wrongly expanded as carboxymethylcellulose. All four edges withdrawn; raw expression retained as AMBIGUOUS.	6109	https://doi.org/10.1002/9781118960608.gbm00667	applied-changes.json
SEM:1cfec4460ef0ccb1e1d7	component_source_scope	data/ingredients/mapped/TYGVS_Glucose.yaml	data/ingredients/mapped/TYGVS_Glucose.yaml	0914aecb007a71a9f4e010c08b24d55c1b02b1b522c32a8c5384bc56d5959c6e	MIM.assertion:581ac27e57722a775a24f308f1a0c524a8ee1d6ce4a2b26e8190a45aedb29209	CHEBI:17234	OPEN_SOURCE_VERIFICATION	Raw source is Treponema medium. Later primary oral TYGVS protocols disagree in named peptone (Trypticase versus Tryptone); neither a different-species recipe nor a shared acronym establishes the original preparation. Adversarial review rejected a tentative promotion; all four original claims remain provisional pending the actual citation chain.	20378	https://doi.org/10.1002/9781118960608.gbm01249	applied-changes.json
