source_record	record_before_sha256	assertion_before_sha256	before_edge_id	facet	source_position	role	provenance_class	disposition	reason	supporting_urls	fresh_role_approval
data/ingredients/mapped/1-Kestose.yaml	c3cd932ad6e3dd6b446c499cb8c69bca008dd05bf21dc30acc80368fe1b318e8	4ea628be52149f9b81f39b2e78a409a172515bc4ad5c8e5c6fb4eba7014f1b6e	MIM.assertion:10c11f44ded3aef235287b021009154ccf7e136ad50fec71be25260c14c6132b	nutritional_roles	0	CARBON_SOURCE	ANCESTRY	OPEN_REQUIRES_ORIGINAL_SOURCE	Ontology ancestry identifies a chemical class or general chemical role; it does not establish the media-use or organism-specific nutritional claim. Inspect the actual lineage and source-context role evidence.		false
data/ingredients/mapped/1-aminocyclopropane-1-carboxylate.yaml	1e651391a3c74fff1a3bde0312bfd657542ab61b4c83407f4c1450115037234c	7d31b5bc3b31af72e9763c0dced0805a7e6435f4c0a8f0027fd68740f6d7fe14	MIM.assertion:95507e69e550d357871e35d4fdbe8d00a793bbd5121db7cb4abbe1b021318442	nutritional_roles	0	AMINO_ACID_SOURCE	ANCESTRY	OPEN_REQUIRES_ORIGINAL_SOURCE	Ontology ancestry identifies a chemical class or general chemical role; it does not establish the media-use or organism-specific nutritional claim. Inspect the actual lineage and source-context role evidence.		false
data/ingredients/mapped/14-B-D-Galactobiose.yaml	346c00c2a113dc722024aef411d261d3a1a09182303a49695e749f53fb575c22	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	MIM.assertion:f1768f4f29254e5f152cdb6d6dfbed256db830bfe5cca8794bbb1a7e1d046918	nutritional_roles	0	CARBON_SOURCE	NAME_PATTERN	OPEN_REQUIRES_ORIGINAL_SOURCE	Name-pattern matching does not establish the ingredient-specific biological or formulation role. Inspect a preparation manual, original culture method, or direct utilization study.		false
data/ingredients/mapped/2-Deoxy-D-Ribose.yaml	b6128f7ddd369ed67041c0958845fecee40c48cc5c5612a956a84141888509a3	4ea628be52149f9b81f39b2e78a409a172515bc4ad5c8e5c6fb4eba7014f1b6e	MIM.assertion:b7e77f60035f3d39828e277c7a047d61ddadb7ff6205f0bfe053a0a9395af78c	nutritional_roles	0	CARBON_SOURCE	ANCESTRY	OPEN_REQUIRES_ORIGINAL_SOURCE	Ontology ancestry identifies a chemical class or general chemical role; it does not establish the media-use or organism-specific nutritional claim. Inspect the actual lineage and source-context role evidence.		false
data/ingredients/mapped/2-Deoxy-D-glucose.yaml	ff57b56e0dc51c2bb5c03d6830082e628f1358c09d5bd2c775b9c9c0ce92625a	4ea628be52149f9b81f39b2e78a409a172515bc4ad5c8e5c6fb4eba7014f1b6e	MIM.assertion:bcbda00c88de084b091b19bb8263f155e16ce8a8c1de800ad836704529bcc6c0	nutritional_roles	0	CARBON_SOURCE	ANCESTRY	COUNTEREXAMPLE_TO_INFERENCE	The primary T. saccharolyticum study uses 2-deoxyglucose to trigger catabolite repression and delayed cellobiose growth, not to supply growth carbon. Class membership cannot certify a carbon-source role; a positive organism-specific utilization source is required.	https://pmc.ncbi.nlm.nih.gov/articles/PMC3526391/	false
data/ingredients/mapped/2-Hydroxybutyric_Acid_Sodium_Salt.yaml	8a2c69adcb8c2dff48034d0fdb7c5b271f64da8c03fa4bee355cd70ad9957173	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	MIM.assertion:c5bd3dc04c2187b4adef0753e2f00348c6ceb6bbd4ab8fc171e50d8fa2c42c2a	nutritional_roles	0	CARBON_SOURCE	NAME_PATTERN	OPEN_REQUIRES_ORIGINAL_SOURCE	Name-pattern matching does not establish the ingredient-specific biological or formulation role. Inspect a preparation manual, original culture method, or direct utilization study.		false
data/ingredients/mapped/2-Keto-D-gluconic_Acid_Hemicalcium_Salt_Hydrate.yaml	5d30ccd4eb4f4148e5f06b6753c37739ebf7d5f678a679b9c5220b5c62bb40e1	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	MIM.assertion:d5d4047691c3946cdee182aabe89aee87cd39700514825f9ab0323538555a3c2	nutritional_roles	0	CARBON_SOURCE	NAME_PATTERN	OPEN_REQUIRES_ORIGINAL_SOURCE	Name-pattern matching does not establish the ingredient-specific biological or formulation role. Inspect a preparation manual, original culture method, or direct utilization study.		false
data/ingredients/mapped/2-Keto-D-gluconic_Acid_Hemicalcium_Salt_Hydrate.yaml	5d30ccd4eb4f4148e5f06b6753c37739ebf7d5f678a679b9c5220b5c62bb40e1	05797c833ce5f55a4f9deb8713e7b56bc9b4c8e4920aeed310903d0418be101f	MIM.assertion:176f633806759db6c5b5cf1f2e44563e5d230ca1c435f98c3dc9c26b7d21748d	nutritional_roles	1	ENERGY_SOURCE	ENERGY_TEMPLATE	OPEN_REQUIRES_ORIGINAL_SOURCE	A generic energy-substrate template does not record a supporting organism, culture condition, or utilization experiment. Source-confirm this precise stereochemical and supplied form.		false
data/ingredients/mapped/2-Keto-D-gluconic_Acid_Hemicalcium_Salt_Monohydrate.yaml	35ffa2d129a9e674a6a9fe7a08665e15e18a7c4c570a5ce30105802e3a7df048	df2072c00c03ccac74a186fad08ecce37b665354626058d581fd7b3f601cd30f	MIM.assertion:35bb6eb8fd41b8a88d8679fbe40020e9e52d7905d4d4dce5386034ce29fe436d	nutritional_roles	0	CARBON_SOURCE	NAME_PATTERN	OPEN_REQUIRES_ORIGINAL_SOURCE	Name-pattern matching does not establish the ingredient-specific biological or formulation role. Inspect a preparation manual, original culture method, or direct utilization study.		false
data/ingredients/mapped/2-Keto-D-gluconic_Acid_Hemicalcium_Salt_Monohydrate.yaml	35ffa2d129a9e674a6a9fe7a08665e15e18a7c4c570a5ce30105802e3a7df048	05797c833ce5f55a4f9deb8713e7b56bc9b4c8e4920aeed310903d0418be101f	MIM.assertion:b907a7a24ecc46f4ffec7ceb23c3b008de72cde33ae185503ebe788d6c244e26	nutritional_roles	1	ENERGY_SOURCE	ENERGY_TEMPLATE	OPEN_REQUIRES_ORIGINAL_SOURCE	A generic energy-substrate template does not record a supporting organism, culture condition, or utilization experiment. Source-confirm this precise stereochemical and supplied form.		false
