subject_id	predicate_id	object_id	row_sha256	source_record	record_sha256	verdict	direction_review	review_report	changed_fields	rationale
MIM:~28-~29-anisomycin	skos:exactMatch	CHEBI:338412	7738116a6d340282c15358609804602416bb68e1a555a1c4dce9cb881d5f3075	data/ingredients/mapped/(-)-anisomycin.yaml	1d17b747ec926d550c6ea98666bcb3cf10a1e575dcfc837f9d94396d561b904a	pass_with_minor_issues	unchanged	reports/yaml_record_review/(-)-anisomycin.md	[]	Whole-record findings block certification; this status does not assert that every blocked mapping triple is false.
MIM:~28-~29-quinic_Acid	skos:exactMatch	CHEBI:17521	790355293c3ba0b3b8586bfe9587670c6b2aba101d4932ddd22cb3f56a4ced1a	data/ingredients/mapped/(-)-quinic_Acid.yaml	9c9368ef44de08cbd59138916d2a120db321b5bddd69b8610a66f140d0d3898a	pass_with_minor_issues	unchanged	reports/yaml_record_review/(-)-quinic_Acid.md	[]	Whole-record findings block certification; this status does not assert that every blocked mapping triple is false.
MIM:~282~29-D-lyxose	skos:exactMatch	CHEBI:62318	a122a39ef156716d68a6d913acd188fe5bf9eb7c33bfd5498e74f02794c5c28f	data/ingredients/mapped/(2)-D-lyxose.yaml	62258c9bdabaf8728fafb6923345fe4b24b9956069113896acb16e9631c1451e	blocked_by_record_findings	unchanged	reports/yaml_record_review/(2)-D-lyxose.md	[]	Whole-record findings block certification; this status does not assert that every blocked mapping triple is false.
MIM:~28R~29-amygdalin	skos:exactMatch	CHEBI:17019	1fd4f553c92071265ef580e3dce98e64f4108df4e1fd592194a43efe561bc968	data/ingredients/mapped/(R)-amygdalin.yaml	9f6e3cb70cbde2c2f3d0352b23bde746980d76be60857207d9447016a3d9f574	pass_with_minor_issues	unchanged	reports/yaml_record_review/(R)-amygdalin.md	[]	Whole-record findings block certification; this status does not assert that every blocked mapping triple is false.
MIM:~28R~29-lactate	skos:exactMatch	CHEBI:16004	68bb4aabf5cc0f19041a96d289463c024634400d6af251a33b8293afb88b3369	data/ingredients/mapped/(R)-lactate.yaml	5ecdb54c8474811127e8bb01b8d7753004065329b1574864c8140d635c6ae93d	blocked_by_record_findings	unchanged	reports/yaml_record_review/(R)-lactate.md	[]	Whole-record findings block certification; this status does not assert that every blocked mapping triple is false.
MIM:~28R~29-malic_Acid	skos:exactMatch	CHEBI:30796	39cc5b73cfd9886e3501ebe50ac75c3fa841d469471f56e0596afc21dc8e248f	data/ingredients/mapped/(R)-malic_Acid.yaml	0a7229be6c0bd446df2b2130a644881be47e2a021194b732e1855e5703270f89	pass_with_minor_issues	unchanged	reports/yaml_record_review/(R)-malic_Acid.md	[]	Whole-record findings block certification; this status does not assert that every blocked mapping triple is false.
MIM:~28S~29-azetidine-2-carboxylic_Acid	skos:exactMatch	CHEBI:6198	ee0f94adc30f9ec0e136627636455371344a1f38ff2d79643348bc16a76faacc	data/ingredients/mapped/(S)-azetidine-2-carboxylic_Acid.yaml	8e26520c847b822c596a5cc3bf6206fac862adf5a1e2b4b2ed3d6d80ebdab792	pass_with_minor_issues	unchanged	reports/yaml_record_review/(S)-azetidine-2-carboxylic_Acid.md	[]	Whole-record findings block certification; this status does not assert that every blocked mapping triple is false.
MIM:~28S~29-mandelic_Acid	skos:exactMatch	CHEBI:32800	d65b30084eb82870a97c43f8549b07bffa57cf8200298e24da747bbcbd603533	data/ingredients/mapped/(S)-mandelic_Acid.yaml	23414e994a265c4df0b025da1907547eebd137cbd4102e0b9e99035ffb2c70af	pass_with_minor_issues	unchanged	reports/yaml_record_review/(S)-mandelic_Acid.md	[]	Whole-record findings block certification; this status does not assert that every blocked mapping triple is false.
MIM:02_Thiamine_Pyrophosphate	skos:exactMatch	kgmicrobe.ingredient:0_2_thiamine_pyrophosphate	3f43a4ae2917708c459b116cdf4a7bbf6eb9ce789eed32925c7066b3418e83de	data/ingredients/mapped/02_Thiamine_Pyrophosphate.yaml	7eece9fb547e213646a2313b9f9bb8f5988f0d13e08d53b2255a33b43f8a659f	blocked_by_record_findings	unchanged	reports/yaml_record_review/02_Thiamine_Pyrophosphate.md	[]	Whole-record findings block certification; this status does not assert that every blocked mapping triple is false.
MIM:05_M_Nitrilotriacetic_Acid_Disodium_Salt	skos:exactMatch	CHEBI:132766	1ebb1b2ff703fcf1545bc818c2dbc55e5b6f2d37366e512a726f4f9a57369e40	data/ingredients/mapped/05_M_Nitrilotriacetic_Acid_Disodium_Salt.yaml	9534e4229546828c3f4f2dd48ae759dd32aa9e6f7b8a084cd929699a98b08790	blocked_by_record_findings	unchanged	reports/yaml_record_review/05_M_Nitrilotriacetic_Acid_Disodium_Salt.md	[]	Whole-record findings block certification; this status does not assert that every blocked mapping triple is false.
