subject	predicate	object	relation	primary_knowledge_source	knowledge_level	agent_type	original_object	original_subject	publications
MICRO:0000067	biolink:subclass_of	OBI:0000079	rdfs:subClassOf	infores:micro	knowledge_assertion	automated_agent			
MICRO:0000079	biolink:subclass_of	MICRO:0000571	rdfs:subClassOf	infores:micro	knowledge_assertion	automated_agent			
MICRO:0000082	biolink:subclass_of	MICRO:0000067	rdfs:subClassOf	infores:micro	knowledge_assertion	automated_agent			
MICRO:0000094	biolink:subclass_of	MICRO:0000067	rdfs:subClassOf	infores:micro	knowledge_assertion	automated_agent			
MICRO:0000113	biolink:subclass_of	MICRO:0000067	rdfs:subClassOf	infores:micro	knowledge_assertion	automated_agent			
MICRO:0000114	biolink:subclass_of	MICRO:0000067	rdfs:subClassOf	infores:micro	knowledge_assertion	automated_agent			
MICRO:0000116	biolink:subclass_of	CHEBI:60004	rdfs:subClassOf	infores:micro	knowledge_assertion	automated_agent			
MICRO:0000164	biolink:subclass_of	MICRO:0000116	rdfs:subClassOf	infores:micro	knowledge_assertion	automated_agent			
MICRO:0000167	biolink:subclass_of	MICRO:0000164	rdfs:subClassOf	infores:micro	knowledge_assertion	automated_agent			
MICRO:0000169	biolink:subclass_of	MICRO:0001370	rdfs:subClassOf	infores:micro	knowledge_assertion	automated_agent			
MICRO:0000170	biolink:subclass_of	MICRO:0001370	rdfs:subClassOf	infores:micro	knowledge_assertion	automated_agent			
MICRO:0000172	biolink:subclass_of	MICRO:0000167	rdfs:subClassOf	infores:micro	knowledge_assertion	automated_agent			
MICRO:0000173	biolink:subclass_of	MICRO:0000172	rdfs:subClassOf	infores:micro	knowledge_assertion	automated_agent			
MICRO:0000174	biolink:subclass_of	MICRO:0000172	rdfs:subClassOf	infores:micro	knowledge_assertion	automated_agent			
MICRO:0000175	biolink:subclass_of	MICRO:0000606	rdfs:subClassOf	infores:micro	knowledge_assertion	automated_agent			
MICRO:0000176	biolink:subclass_of	MICRO:0000463	rdfs:subClassOf	infores:micro	knowledge_assertion	automated_agent			
MICRO:0000178	biolink:subclass_of	MICRO:0000463	rdfs:subClassOf	infores:micro	knowledge_assertion	automated_agent			
MICRO:0000180	biolink:subclass_of	MICRO:0000463	rdfs:subClassOf	infores:micro	knowledge_assertion	automated_agent			
