id	category	name	description	xref	provided_by	synonym	deprecated	same_as
MICRO:0000031	biolink:OntologyClass	fermentation product			ontologies_stubs			
MICRO:0000067	biolink:OntologyClass	microbiological culture medium			ontologies_stubs	culture media|growth media|growth medium|media|medium		
MICRO:0000079	biolink:OntologyClass	defined inorganic chemical mixture			ontologies_stubs			
MICRO:0000082	biolink:OntologyClass	nutrient broth			ontologies_stubs	nutrient medium		
MICRO:0000094	biolink:OntologyClass	PPLO medium			ontologies_stubs			
MICRO:0000113	biolink:OntologyClass	tryptic soy broth			ontologies_stubs	tryptic soy medium		
MICRO:0000114	biolink:OntologyClass	tryptic soy agar			ontologies_stubs			
MICRO:0000116	biolink:OntologyClass	chemical mixture, serving as microbiological medium ingredients			ontologies_stubs			
MICRO:0000164	biolink:OntologyClass	organic chemical mixture			ontologies_stubs			
MICRO:0000167	biolink:OntologyClass	undefined organic chemical mixture			ontologies_stubs			
MICRO:0000169	biolink:OntologyClass	microbiological medium ingredient, derived from aqueous extracts of animal tissues or fluids			ontologies_stubs			
MICRO:0000170	biolink:OntologyClass	microbiological medium ingredient, derived from extracts of microbial organisms			ontologies_stubs			
MICRO:0000172	biolink:OntologyClass	microbiological medium ingredient, derived from extracts of proteinaceous material			ontologies_stubs			
MICRO:0000173	biolink:OntologyClass	microbiological medium ingredient, derived from chemical hydrolysis of protein			ontologies_stubs			
MICRO:0000174	biolink:OntologyClass	microbiological medium ingredient, derived from enzymatic hydrolysis of protein			ontologies_stubs			
MICRO:0000175	biolink:OntologyClass	Trypticase peptone			ontologies_stubs	Trypticase		
MICRO:0000176	biolink:OntologyClass	meat peptone			ontologies_stubs			
MICRO:0000178	biolink:OntologyClass	peptone			ontologies_stubs			
MICRO:0000180	biolink:OntologyClass	proteose peptone			ontologies_stubs	Bacto(TM) Proteose Peptone|Peptic digest of animal tissue		
MICRO:0000181	biolink:OntologyClass	soy peptone			ontologies_stubs	Bacto™ Soytone|soytone		
MICRO:0000182	biolink:OntologyClass	tryptone			ontologies_stubs	Bacto Tryptone|Bacto-Tryptone|Proteose Tryptone		
MICRO:0000183	biolink:OntologyClass	tryptose			ontologies_stubs			
MICRO:0000193	biolink:OntologyClass	brain heart infusion			ontologies_stubs			
MICRO:0000201	biolink:OntologyClass	yeast extract			ontologies_stubs			
MICRO:0000307	biolink:OntologyClass	bovine albumin			ontologies_stubs			
MICRO:0000455	biolink:OntologyClass	trace elements solution			ontologies_stubs			
MICRO:0000456	biolink:OntologyClass	trace metals 44			ontologies_stubs	metals "44"|metals 44		
MICRO:0000457	biolink:OntologyClass	soil extract			ontologies_stubs			
MICRO:0000460	biolink:OntologyClass	vitamin solution			ontologies_stubs			
MICRO:0000462	biolink:OntologyClass	fish peptone			ontologies_stubs			
MICRO:0000463	biolink:OntologyClass	microbiological medium ingredient, derived from enzymatic hydrolysis of mammalian protein			ontologies_stubs			
MICRO:0000465	biolink:OntologyClass	microbiological medium ingredient, derived from enzymatic hydrolysis of milk protein			ontologies_stubs			
MICRO:0000466	biolink:OntologyClass	pancreatic digest of gelatin			ontologies_stubs	gelatin peptone|gelatine peptone|gelatine peptone, pancreatic|pancreatic digest of gelatin peptone		
MICRO:0000518	biolink:OntologyClass	defined organic chemical mixture			ontologies_stubs			
MICRO:0000520	biolink:OntologyClass	clarified rumen fluid			ontologies_stubs			
MICRO:0000521	biolink:OntologyClass	sludge fluid			ontologies_stubs			
MICRO:0000522	biolink:OntologyClass	Yeastolate			ontologies_stubs	Bacto(TM) TC Yeastolate|TC Proteose Yeastolate		
MICRO:0000536	biolink:OntologyClass	Columbia Agar Base			ontologies_stubs			
MICRO:0000543	biolink:OntologyClass	R2A agar			ontologies_stubs			
MICRO:0000554	biolink:OntologyClass	MRS agar			ontologies_stubs	de Man-Rogosa-Sharpe medium		
MICRO:0000566	biolink:OntologyClass	brain heart infusion agar			ontologies_stubs			
MICRO:0000567	biolink:OntologyClass	heart infusion agar			ontologies_stubs			
MICRO:0000571	biolink:OntologyClass	inorganic chemical mixture			ontologies_stubs			
MICRO:0000591	biolink:OntologyClass	chocolate agar			ontologies_stubs			
MICRO:0000595	biolink:OntologyClass	Brucella agar			ontologies_stubs			
MICRO:0000606	biolink:OntologyClass	casitone			ontologies_stubs	casein peptone|casein peptone, tryptic digest		
MICRO:0000610	biolink:OntologyClass	ox bile			ontologies_stubs			
MICRO:0000673	biolink:OntologyClass	trypsin assay			ontologies_stubs	trypsin		
MICRO:0000795	biolink:OntologyClass	enzymatic assay			ontologies_stubs			
MICRO:0000851	biolink:OntologyClass	protein metabolism assay			ontologies_stubs			
MICRO:0000874	biolink:OntologyClass	peptidase assay			ontologies_stubs	protease|protein hydrolysis		
MICRO:0001227	biolink:OntologyClass	microbiological medium ingredient, derived from animal blood			ontologies_stubs			
MICRO:0001229	biolink:OntologyClass	rabbit blood			ontologies_stubs			
MICRO:0001230	biolink:OntologyClass	sheep blood			ontologies_stubs			
MICRO:0001233	biolink:OntologyClass	blood medium ingredient			ontologies_stubs			
MICRO:0001234	biolink:OntologyClass	horse blood			ontologies_stubs			
MICRO:0001235	biolink:OntologyClass	horse serum			ontologies_stubs			
MICRO:0001236	biolink:OntologyClass	serum medium ingredient			ontologies_stubs			
MICRO:0001238	biolink:OntologyClass	porcine serum			ontologies_stubs			
MICRO:0001241	biolink:OntologyClass	skim milk powder			ontologies_stubs	skim cow's milk|skim milk|skimmed milk		
MICRO:0001243	biolink:OntologyClass	microbiological medium ingredient, derived from milk			ontologies_stubs			
MICRO:0001328	biolink:OntologyClass	MH agar			ontologies_stubs			
MICRO:0001348	biolink:OntologyClass	BG 11 medium			ontologies_stubs			
MICRO:0001349	biolink:OntologyClass	trace metal mix A5			ontologies_stubs			
MICRO:0001358	biolink:OntologyClass	Eugon agar			ontologies_stubs			
MICRO:0001362	biolink:OntologyClass	digested serum			ontologies_stubs			
MICRO:0001363	biolink:OntologyClass	liver extract			ontologies_stubs	liver infusion		
